"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeAdvantage","HomeWin","Tie","AwayWin","MSE"
"France","Portugal","07/10/16","EUC-K",0,1,1,0.63,0.227,0.14,1.188
"France","Germany","07/07/16","EUC-K",2,0,1,0.387,0.298,0.315,0.5638
"Portugal","Wales","07/06/16","EUC-K",2,0,0,0.5,0.277,0.223,0.3765
"France","Iceland","07/03/16","EUC-K",5,2,1,0.69,0.199,0.111,0.148
"Germany","Italy","07/02/16","EUC-K",1,1,0,0.631,0.228,0.141,1.014
"Wales","Belgium","07/01/16","EUC-K",3,1,0,0.159,0.242,0.599,1.1246
"Poland","Portugal","06/30/16","EUC-K",1,1,0,0.301,0.297,0.402,0.7464
"Italy","Spain","06/27/16","EUC-K",2,0,0,0.29,0.295,0.415,0.7634
"England","Iceland","06/27/16","EUC-K",1,2,0,0.477,0.283,0.24,0.8852
"Hungary","Belgium","06/26/16","EUC-K",0,4,0,0.129,0.217,0.654,0.1834
"Germany","Slovakia","06/26/16","EUC-K",3,0,0,0.697,0.196,0.107,0.1417
"France","Republic of Ireland","06/26/16","EUC-K",2,1,1,0.676,0.208,0.118,0.1622
"Wales","Northern Ireland","06/25/16","EUC-K",1,0,0,0.407,0.296,0.297,0.5275
"Switzerland","Poland","06/25/16","EUC-K",1,1,0,0.32,0.299,0.381,0.739
"Croatia","Portugal","06/25/16","EUC-K",0,1,0,0.294,0.296,0.41,0.5222
"Sweden","Belgium","06/22/16","EUC-G",0,1,0,0.163,0.245,0.592,0.2531
"Italy","Republic of Ireland","06/22/16","EUC-G",0,1,0,0.332,0.3,0.368,0.5996
"Iceland","Austria","06/22/16","EUC-G",2,1,0,0.245,0.285,0.47,0.8722
"Hungary","Portugal","06/22/16","EUC-G",3,3,0,0.188,0.26,0.552,0.8876
"Ukraine","Poland","06/21/16","EUC-G",0,1,0,0.322,0.299,0.379,0.5787
"Northern Ireland","Germany","06/21/16","EUC-G",0,1,0,0.072,0.148,0.78,0.0755
"Czech Republic","Turkey","06/21/16","EUC-G",0,2,0,0.248,0.286,0.466,0.4285
"Croatia","Spain","06/21/16","EUC-G",2,1,0,0.262,0.29,0.448,0.8294
"Slovakia","England","06/20/16","EUC-G",0,0,0,0.172,0.25,0.578,0.9262
"Russia","Wales","06/20/16","EUC-G",0,3,0,0.415,0.295,0.29,0.7634
"Romania","Albania","06/19/16","EUC-G",0,1,0,0.388,0.298,0.314,0.7099
"France","Switzerland","06/19/16","EUC-G",0,0,1,0.689,0.2,0.11,1.1268
"Portugal","Austria","06/18/16","EUC-G",0,0,0,0.298,0.296,0.406,0.7493
"Iceland","Hungary","06/18/16","EUC-G",1,1,0,0.488,0.28,0.232,0.8104
"Belgium","Republic of Ireland","06/18/16","EUC-G",3,0,0,0.501,0.277,0.222,0.375
"Spain","Turkey","06/17/16","EUC-G",3,0,0,0.39,0.298,0.312,0.5582
"Italy","Sweden","06/17/16","EUC-G",1,0,0,0.421,0.294,0.285,0.5029
"Czech Republic","Croatia","06/17/16","EUC-G",2,2,0,0.297,0.296,0.407,0.7495
"Ukraine","Northern Ireland","06/16/16","EUC-G",0,2,0,0.485,0.281,0.234,0.9009
"Germany","Poland","06/16/16","EUC-G",0,0,0,0.651,0.219,0.13,1.0507
"England","Wales","06/16/16","EUC-G",2,1,0,0.558,0.258,0.184,0.2958
"Russia","Slovakia","06/15/16","EUC-G",1,2,0,0.435,0.292,0.273,0.803
"Romania","Switzerland","06/15/16","EUC-G",1,1,0,0.304,0.399,0.297,0.5418
"France","Albania","06/15/16","EUC-G",2,0,1,0.751,0.166,0.083,0.0964
"Portugal","Iceland","06/14/16","EUC-G",1,1,0,0.412,0.296,0.292,0.7506
"Austria","Hungary","06/14/16","EUC-G",0,2,0,0.608,0.238,0.154,1.142
"Spain","Czech Republic","06/13/16","EUC-G",1,0,0,0.508,0.275,0.217,0.3648
"Republic of Ireland","Sweden","06/13/16","EUC-G",1,1,0,0.44,0.291,0.269,0.7686
"Belgium","Italy","06/13/16","EUC-G",0,2,0,0.52,0.271,0.209,0.9695
"Turkey","Croatia","06/12/16","EUC-G",0,1,0,0.407,0.296,0.297,0.7475
"Poland","Northern Ireland","06/12/16","EUC-G",1,0,0,0.516,0.272,0.212,0.3532
"Germany","Ukraine","06/12/16","EUC-G",2,0,0,0.678,0.206,0.116,0.1596
"Wales","Slovakia","06/11/16","EUC-G",2,1,0,0.369,0.3,0.331,0.5977
"England","Russia","06/11/16","EUC-G",1,1,0,0.491,0.279,0.23,0.8138
"Albania","Switzerland","06/11/16","EUC-G",0,1,0,0.27,0.292,0.438,0.474
"France","Romania","06/10/16","EUC-G",2,1,1,0.724,0.181,0.095,0.118
