HomeTeam,AwayTeam,Date,Contest,HomeGoals,AwayGoals,HomeAdvantage,HomeWin,Tie,AwayWin,SSE,IsCorrect
France,Portugal,07/10/16,EUC-K,0,1,1,0.4651,0.3279,0.2375,0.9052,0
France,Germany,07/07/16,EUC-K,2,0,1,0.3584,0.3356,0.3367,0.6376,1
Portugal,Wales,07/06/16,EUC-K,2,0,0,0.4651,0.3236,0.2439,0.4503,1
France,Iceland,07/03/16,EUC-K,5,2,1,0.7092,0.2045,0.1176,0.1402,1
Germany,Italy,07/02/16,EUC-K,1,1,0,0.4386,0.33,0.2618,0.7098,0
Wales,Belgium,07/01/16,EUC-K,3,1,0,0.2045,0.2976,0.5291,1.0013,0
Poland,Portugal,06/30/16,EUC-K,1,1,0,0.2717,0.3436,0.4184,0.6797,0
Italy,Spain,06/27/16,EUC-K,2,0,0,0.2217,0.3436,0.4651,0.9401,0
England,Iceland,06/27/16,EUC-K,1,2,0,0.6803,0.2392,0.1099,1.3123,0
Hungary,Belgium,06/26/16,EUC-K,0,4,0,0.1427,0.2801,0.6098,0.2511,1
Germany,Slovakia,06/26/16,EUC-K,3,0,0,0.7042,0.2353,0.0928,0.1515,1
France,Republic of Ireland,06/26/16,EUC-K,2,1,1,0.6536,0.266,0.1109,0.203,1
Wales,Northern Ireland,06/25/16,EUC-K,1,0,0,0.4926,0.339,0.2,0.4124,1
Switzerland,Poland,06/25/16,EUC-K,1,1,0,0.3333,0.3472,0.3521,0.6612,0
Croatia,Portugal,06/25/16,EUC-K,0,1,0,0.3534,0.3367,0.3425,0.6706,0
Sweden,Belgium,06/22/16,EUC-G,0,1,0,0.2045,0.2985,0.5263,0.3553,1
Italy,Republic of Ireland,06/22/16,EUC-G,0,1,0,0.4329,0.3226,0.2755,0.8164,0
Iceland,Austria,06/22/16,EUC-G,2,1,0,0.2762,0.3165,0.4405,0.8181,0
Hungary,Portugal,06/22/16,EUC-G,3,3,0,0.1072,0.2525,0.6711,1.0206,0
Ukraine,Poland,06/21/16,EUC-G,0,1,0,0.2222,0.3135,0.4975,0.4002,1
Northern Ireland,Germany,06/21/16,EUC-G,0,1,0,0.0738,0.2114,0.7462,0.1146,1
Czech Republic,Turkey,06/21/16,EUC-G,0,2,0,0.4219,0.2801,0.33,0.7054,0
Croatia,Spain,06/21/16,EUC-G,2,1,0,0.189,0.33,0.5128,1.0296,0
Slovakia,England,06/20/16,EUC-G,0,0,0,0.1748,0.3145,0.5435,0.7959,0
Russia,Wales,06/20/16,EUC-G,0,3,0,0.3802,0.3268,0.3245,0.7077,0
Romania,Albania,06/19/16,EUC-G,0,1,0,0.483,0.3268,0.2625,0.884,0
France,Switzerland,06/19/16,EUC-G,0,0,1,0.5181,0.3436,0.1704,0.7283,0
Portugal,Austria,06/18/16,EUC-G,0,0,0,0.5714,0.274,0.1883,0.889,0
Iceland,Hungary,06/18/16,EUC-G,1,1,0,0.3788,0.3333,0.3195,0.6901,0
Belgium,Republic of Ireland,06/18/16,EUC-G,3,0,0,0.5319,0.2976,0.2016,0.3483,1
Spain,Turkey,06/17/16,EUC-G,3,0,0,0.6711,0.2433,0.1136,0.1803,1
Italy,Sweden,06/17/16,EUC-G,1,0,0,0.4926,0.3279,0.2114,0.4097,1
Czech Republic,Croatia,06/17/16,EUC-G,2,2,0,0.2257,0.3205,0.4854,0.7483,0
Ukraine,Northern Ireland,06/16/16,EUC-G,0,2,0,0.5682,0.2959,0.1661,1.1058,0
Germany,Poland,06/16/16,EUC-G,0,0,0,0.6173,0.2481,0.1626,0.9729,0
England,Wales,06/16/16,EUC-G,2,1,0,0.5952,0.2681,0.1661,0.2633,1
Russia,Slovakia,06/15/16,EUC-G,1,2,0,0.4132,0.3175,0.2994,0.7624,0
Romania,Switzerland,06/15/16,EUC-G,1,1,0,0.2849,0.3279,0.4184,0.7079,0
France,Albania,06/15/16,EUC-G,2,0,1,0.8,0.1669,0.0635,0.0719,1
Portugal,Iceland,06/14/16,EUC-G,1,1,0,0.6993,0.2212,0.1116,1.108,0
Austria,Hungary,06/14/16,EUC-G,0,2,0,0.5952,0.2732,0.1629,1.1296,0
Spain,Czech Republic,06/13/16,EUC-G,1,0,0,0.6944,0.2237,0.1145,0.1565,1
Republic of Ireland,Sweden,06/13/16,EUC-G,1,1,0,0.2688,0.3279,0.4348,0.713,0
Belgium,Italy,06/13/16,EUC-G,0,2,0,0.3704,0.3344,0.33,0.6979,0
Turkey,Croatia,06/12/16,EUC-G,0,1,0,0.241,0.2985,0.4902,0.4071,1
Poland,Northern Ireland,06/12/16,EUC-G,1,0,0,0.5618,0.2933,0.1767,0.3093,1
Germany,Ukraine,06/12/16,EUC-G,2,0,0,0.6579,0.2336,0.1393,0.191,1
Wales,Slovakia,06/11/16,EUC-G,2,1,0,0.3247,0.339,0.3676,0.7061,0
England,Russia,06/11/16,EUC-G,1,1,0,0.565,0.2809,0.1838,0.8701,0
Albania,Switzerland,06/11/16,EUC-G,0,1,0,0.1976,0.3096,0.5236,0.3619,1
France,Romania,06/10/16,EUC-G,2,1,1,0.7299,0.2061,0.0914,0.1238,1
