"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeAdvantage","HomeStrAgg","AwayStrAgg","HomeStrAggNext","AwayStrAggNext","HomeAttack","HomeDefense","AwayAttack","AwayDefense","HomeAttackNext","HomeDefenseNext","AwayAttackNext","AwayDefenseNext","IsCorrect"
"France","Portugal","2016-07-10","EUC-K",0,1,1,0.6096,0.4444,0.5712,0.4749,2.9391,4.8215,3.0154,6.7859,2.9329,5.1347,3.2136,6.767,0
"France","Germany","2016-07-07","EUC-K",2,0,1,0.5515,0.7128,0.6096,0.6461,2.6586,4.8208,4.101,5.7532,2.9391,4.8215,4.0931,6.3353,0
"Portugal","Wales","2016-07-06","EUC-K",2,0,0,0.3947,0.4875,0.4441,0.434,2.6869,6.8082,2.7317,5.6033,3.0157,6.7903,2.7233,6.2748,0
"France","Iceland","2016-07-03","EUC-K",5,2,1,0.5102,0.4079,0.5511,0.3794,2.1171,4.1494,2.5989,6.3721,2.6627,4.8314,3.032,7.9914,1
"Germany","Italy","2016-07-02","EUC-K",1,1,0,0.7307,0.4798,0.7161,0.4894,3.967,5.4287,2.9228,6.0919,4.1249,5.7598,3.1023,6.3395,0
"Wales","Belgium","2016-07-01","EUC-K",3,1,0,0.4237,0.6323,0.4883,0.5533,2.2455,5.2997,3.2976,5.2154,2.7337,5.5979,3.4924,6.3119,0
"Poland","Portugal","2016-06-30","EUC-K",1,1,0,0.4882,0.3924,0.4835,0.3974,2.8018,5.7389,2.5614,6.5277,2.951,6.1034,2.7283,6.8648,0
"England","Iceland","2016-06-27","EUC-K",1,2,0,0.6861,0.3648,0.6153,0.4078,3.1355,4.5699,2.2229,6.0929,3.3006,5.364,2.6157,6.4141,0
"Italy","Spain","2016-06-27","EUC-K",2,0,0,0.427,0.7141,0.4918,0.6207,2.606,6.1025,3.2904,4.6078,3.0031,6.1058,3.2865,5.2949,0
"France","Republic of Ireland","2016-06-26","EUC-K",2,1,1,0.5041,0.3561,0.5139,0.3504,1.8745,3.7182,2.1475,6.0307,2.1306,4.1457,2.3972,6.8411,1
"Germany","Slovakia","2016-06-26","EUC-K",3,0,0,0.6587,0.2872,0.7331,0.2572,3.5918,5.453,2.0021,6.9716,3.9958,5.4504,1.998,7.768,1
"Hungary","Belgium","2016-06-26","EUC-K",0,4,0,0.3577,0.5344,0.3066,0.6223,2.8139,7.8674,2.8427,5.3192,2.8093,9.1621,3.3085,5.3167,1
"Croatia","Portugal","2016-06-25","EUC-K",0,1,0,0.5121,0.3736,0.4786,0.4004,2.9232,5.7076,2.4722,6.6176,2.9171,6.0953,2.6436,6.6021,0
"Switzerland","Poland","2016-06-25","EUC-K",1,1,0,0.4781,0.4856,0.4788,0.486,2.6523,5.5472,2.6401,5.4368,2.8333,5.9171,2.8219,5.8062,0
"Wales","Northern Ireland","2016-06-25","EUC-K",1,0,0,0.404,0.3094,0.4342,0.2885,2.1558,5.3365,1.943,6.2796,2.3165,5.3354,1.941,6.728,1
"Hungary","Portugal","2016-06-22","EUC-G",3,3,0,0.3641,0.3782,0.3654,0.3764,2.4454,6.7168,2.114,5.5895,2.9206,7.9919,2.5067,6.6604,0
"Iceland","Austria","2016-06-22","EUC-G",2,1,0,0.3369,0.4455,0.3715,0.4036,1.8972,5.6313,2.1069,4.7298,2.2651,6.098,2.2825,5.6557,0
"Italy","Republic of Ireland","2016-06-22","EUC-G",0,1,0,0.4715,0.3272,0.4343,0.3559,2.6644,5.6504,1.999,6.1101,2.6625,6.1299,2.1727,6.1056,0
"Sweden","Belgium","2016-06-22","EUC-G",0,1,0,0.3441,0.521,0.3264,0.5493,2.3329,6.779,2.7764,5.3287,2.3328,7.1471,2.9278,5.3298,1
"Croatia","Spain","2016-06-21","EUC-G",2,1,0,0.4694,0.8258,0.5249,0.7432,2.5216,5.3714,3.2111,3.8887,2.9809,5.6792,3.3986,4.573,0
"Czech Republic","Turkey","2016-06-21","EUC-G",0,2,0,0.2939,0.2818,0.2597,0.3193,2.2384,7.6172,1.5834,5.6185,2.249,8.6605,1.8012,5.6407,0
"Northern Ireland","Germany","2016-06-21","EUC-G",0,1,0,0.3284,0.6386,0.314,0.6681,2.005,6.1062,3.5418,5.5465,2.0055,6.3878,3.7058,5.5469,1
"Ukraine","Poland","2016-06-21","EUC-G",0,1,0,0.36,0.4506,0.3351,0.4857,1.9339,5.3716,2.4603,5.4602,1.9329,5.7687,2.6504,5.4571,1
"Russia","Wales","2016-06-20","EUC-G",0,3,0,0.3999,0.3271,0.3205,0.4088,2.2953,5.7396,1.7359,5.3061,2.3008,7.1779,2.1766,5.324,0
"Slovakia","England","2016-06-20","EUC-G",0,0,0,0.2909,0.6988,0.2909,0.6988,2.0388,7.0084,3.1921,4.5677,2.0388,7.0084,3.1921,4.5677,0
"France","Switzerland","2016-06-19","EUC-G",0,0,1,0.531,0.4904,0.531,0.4904,1.9617,3.6946,2.7218,5.5501,1.9617,3.6946,2.7218,5.5501,0
"Romania","Albania","2016-06-19","EUC-G",0,1,0,0.3914,0.1916,0.3354,0.2237,1.8764,4.7947,1.1213,5.853,1.8744,5.5883,1.315,5.8775,0
