"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeAdvantage","HomeWin","Tie","AwayWin","SSE","IsCorrect"
"France","Portugal","07/10/16","EUC-K",0,1,1,0.4738,0.2633,0.2629,0.8371,0
"France","Germany","07/07/16","EUC-K",2,0,1,0.3679,0.2811,0.351,0.6018,1
"Portugal","Wales","07/06/16","EUC-K",2,0,0,0.3826,0.2831,0.3343,0.5731,1
"France","Iceland","07/03/16","EUC-K",5,2,1,0.4745,0.2652,0.2604,0.4143,1
"Germany","Italy","07/02/16","EUC-K",1,1,0,0.4114,0.3046,0.2839,0.7334,0
"Wales","Belgium","07/01/16","EUC-K",3,1,0,0.3121,0.285,0.4029,0.7168,0
"Poland","Portugal","06/30/16","EUC-K",1,1,0,0.3779,0.2932,0.3289,0.7505,0
"Italy","Spain","06/27/16","EUC-K",2,0,0,0.2787,0.3002,0.4211,0.7877,0
"England","Iceland","06/27/16","EUC-K",1,2,0,0.4011,0.2871,0.3118,0.7169,0
"Hungary","Belgium","06/26/16","EUC-K",0,4,0,0.322,0.2727,0.4053,0.5317,1
"Germany","Slovakia","06/26/16","EUC-K",3,0,0,0.5425,0.2607,0.1969,0.316,1
"France","Republic of Ireland","06/26/16","EUC-K",2,1,1,0.4854,0.2722,0.2425,0.3977,1
"Wales","Northern Ireland","06/25/16","EUC-K",1,0,0,0.3904,0.2816,0.328,0.5585,1
"Switzerland","Poland","06/25/16","EUC-K",1,1,0,0.2927,0.2978,0.4095,0.7464,0
"Croatia","Portugal","06/25/16","EUC-K",0,1,0,0.3594,0.2796,0.3611,0.6155,1
"Sweden","Belgium","06/22/16","EUC-G",0,1,0,0.312,0.2728,0.4152,0.5138,1
"Italy","Republic of Ireland","06/22/16","EUC-G",0,1,0,0.4248,0.2851,0.2901,0.7657,0
"Iceland","Austria","06/22/16","EUC-G",2,1,0,0.3622,0.2878,0.35,0.6121,1
"Hungary","Portugal","06/22/16","EUC-G",3,3,0,0.3042,0.2859,0.4098,0.7704,0
"Ukraine","Poland","06/21/16","EUC-G",0,1,0,0.2496,0.2783,0.4721,0.4184,1
"Northern Ireland","Germany","06/21/16","EUC-G",0,1,0,0.222,0.2707,0.5073,0.3653,1
"Czech Republic","Turkey","06/21/16","EUC-G",0,2,0,0.3528,0.2677,0.3795,0.5812,1
"Croatia","Spain","06/21/16","EUC-G",2,1,0,0.2287,0.287,0.4842,0.9117,0
"Slovakia","England","06/20/16","EUC-G",0,0,0,0.229,0.2509,0.5201,0.8841,0
"Russia","Wales","06/20/16","EUC-G",0,3,0,0.3869,0.2749,0.3382,0.6632,0
"Romania","Albania","06/19/16","EUC-G",0,1,0,0.4505,0.2811,0.2684,0.8172,0
"France","Switzerland","06/19/16","EUC-G",0,0,1,0.5108,0.2566,0.2326,0.8677,0
"Portugal","Austria","06/18/16","EUC-G",0,0,0,0.4022,0.2781,0.3198,0.7852,0
"Iceland","Hungary","06/18/16","EUC-G",1,1,0,0.3923,0.2796,0.3281,0.7805,0
"Belgium","Republic of Ireland","06/18/16","EUC-G",3,0,0,0.2983,0.2778,0.4239,0.7492,0
"Spain","Turkey","06/17/16","EUC-G",3,0,0,0.4828,0.29,0.2272,0.4032,1
"Italy","Sweden","06/17/16","EUC-G",1,0,0,0.4368,0.2734,0.2898,0.4759,1
"Czech Republic","Croatia","06/17/16","EUC-G",2,2,0,0.2724,0.2731,0.4545,0.8092,0
"Ukraine","Northern Ireland","06/16/16","EUC-G",0,2,0,0.4166,0.2814,0.3021,0.7398,0
"Germany","Poland","06/16/16","EUC-G",0,0,0,0.4191,0.2794,0.3015,0.7858,0
"England","Wales","06/16/16","EUC-G",2,1,0,0.4729,0.2763,0.2508,0.4171,1
"Russia","Slovakia","06/15/16","EUC-G",1,2,0,0.4757,0.2614,0.2629,0.8379,0
"Romania","Switzerland","06/15/16","EUC-G",1,1,0,0.3428,0.2915,0.3657,0.7532,0
"France","Albania","06/15/16","EUC-G",2,0,1,0.5804,0.2331,0.1865,0.2652,1
"Portugal","Iceland","06/14/16","EUC-G",1,1,0,0.3846,0.2861,0.3293,0.766,0
"Austria","Hungary","06/14/16","EUC-G",0,2,0,0.4789,0.2637,0.2574,0.8503,0
"Spain","Czech Republic","06/13/16","EUC-G",1,0,0,0.5472,0.2507,0.2021,0.3087,1
"Republic of Ireland","Sweden","06/13/16","EUC-G",1,1,0,0.4447,0.2743,0.281,0.8034,0
"Belgium","Italy","06/13/16","EUC-G",0,2,0,0.3634,0.2765,0.3601,0.618,0
"Turkey","Croatia","06/12/16","EUC-G",0,1,0,0.3687,0.2888,0.3425,0.6517,0
"Poland","Northern Ireland","06/12/16","EUC-G",1,0,0,0.4795,0.2505,0.27,0.4066,1
"Germany","Ukraine","06/12/16","EUC-G",2,0,0,0.4316,0.2825,0.2858,0.4846,1
"Wales","Slovakia","06/11/16","EUC-G",2,1,0,0.3947,0.2831,0.3223,0.5504,1
"England","Russia","06/11/16","EUC-G",1,1,0,0.4441,0.2846,0.2714,0.7827,0
"Albania","Switzerland","06/11/16","EUC-G",0,1,0,0.3123,0.2778,0.4098,0.523,1
"France","Romania","06/10/16","EUC-G",2,1,1,0.4786,0.2752,0.2461,0.4082,1
