"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeAdvantage","HomeStrAgg","AwayStrAgg","HomeStrAggNext","AwayStrAggNext","HomeAttack","HomeDefense","AwayAttack","AwayDefense","HomeAttackNext","HomeDefenseNext","AwayAttackNext","AwayDefenseNext","HomeWin","Tie","AwayWin","SSE","IsCorrect"
"France","Portugal","2016-07-10","EUC-K",0,1,1,1.7795,1.4411,1.664,1.557,1.1002,-0.6847,0.8951,-0.5503,1.0135,-0.6556,0.9283,-0.6335,0.5648,0.2351,0.2001,1.0141,0
"France","Germany","2016-07-07","EUC-K",2,0,1,1.6377,1.9369,1.7795,1.7932,1.0479,-0.5948,1.1082,-0.8346,1.1002,-0.6847,1.0275,-0.7711,0.3614,0.2691,0.3695,0.6168,0
"Portugal","Wales","2016-07-06","EUC-K",2,0,0,1.3081,1.1424,1.4411,1.0096,0.8395,-0.4726,0.763,-0.3829,0.8951,-0.5503,0.6846,-0.3281,0.4013,0.289,0.3097,0.5379,1
"France","Iceland","2016-07-03","EUC-K",5,2,1,1.6363,1.074,1.6377,1.0727,0.9675,-0.6738,0.7794,-0.2979,1.0479,-0.5948,0.84,-0.2359,0.6371,0.2098,0.1531,0.1992,1
"Germany","Italy","2016-07-02","EUC-K",1,1,0,1.9736,1.5169,1.9369,1.5535,1.1134,-0.8662,0.8874,-0.6342,1.1082,-0.8346,0.9183,-0.6399,0.4673,0.298,0.2347,0.7663,0
"Wales","Belgium","2016-07-01","EUC-K",3,1,0,1.0026,1.5198,1.1424,1.3823,0.6357,-0.3699,0.9232,-0.6011,0.763,-0.3829,0.9057,-0.4808,0.2228,0.2852,0.492,0.9274,0
"Poland","Portugal","2016-06-30","EUC-K",1,1,0,1.3344,1.3059,1.3322,1.3081,0.8134,-0.5251,0.8347,-0.4752,0.8211,-0.5152,0.8395,-0.4726,0.3577,0.2999,0.3424,0.7353,0
"Italy","Spain","2016-06-27","EUC-K",2,0,0,1.3225,1.8704,1.5169,1.6765,0.7785,-0.548,1.0652,-0.8109,0.8874,-0.6342,0.9778,-0.7038,0.2153,0.2929,0.4918,0.9434,0
"England","Iceland","2016-06-27","EUC-K",1,2,0,1.6666,0.9651,1.5524,1.074,0.9538,-0.7179,0.6995,-0.2685,0.9382,-0.6189,0.7794,-0.2979,0.5532,0.2615,0.1853,1.0381,0
"Hungary","Belgium","2016-06-26","EUC-K",0,4,0,0.9817,1.3364,0.8051,1.5198,0.7552,-0.2294,0.8109,-0.5296,0.6707,-0.1368,0.9232,-0.6011,0.2629,0.276,0.4611,0.4357,1
"Germany","Slovakia","2016-06-26","EUC-K",3,0,0,1.8707,0.7422,1.9736,0.6402,1.0619,-0.8145,0.5249,-0.2196,1.1134,-0.8662,0.4697,-0.1724,0.6629,0.2227,0.1145,0.1763,1
"France","Republic of Ireland","2016-06-26","EUC-K",2,1,1,1.6609,1.0338,1.6363,1.058,0.9551,-0.7108,0.6698,-0.3671,0.9675,-0.6738,0.7017,-0.3595,0.633,0.2224,0.1445,0.205,1
"Wales","Northern Ireland","2016-06-25","EUC-K",1,0,0,0.9224,0.6328,1.0026,0.5523,0.6256,-0.2996,0.4432,-0.1915,0.6357,-0.3699,0.377,-0.177,0.426,0.2999,0.2741,0.4945,1
"Switzerland","Poland","2016-06-25","EUC-K",1,1,0,1.2468,1.3421,1.2546,1.3344,0.7089,-0.5417,0.8064,-0.5398,0.7316,-0.5269,0.8134,-0.5251,0.3163,0.3193,0.3644,0.6962,0
"Croatia","Portugal","2016-06-25","EUC-K",0,1,0,1.4122,1.1998,1.306,1.3059,0.9144,-0.5021,0.8124,-0.391,0.8306,-0.4793,0.8347,-0.4752,0.4201,0.2801,0.2998,0.7452,0
