"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeAdvantage","HomeStrAgg","AwayStrAgg","HomeStrAggNext","AwayStrAggNext","HomeAttack","HomeDefense","AwayAttack","AwayDefense","HomeAttackNext","HomeDefenseNext","AwayAttackNext","AwayDefenseNext","HomeWin","Tie","AwayWin","SSE","IsCorrect"
"Australia","South Korea","2015-01-31","AFC-K",2,1,1,1.0757,1.1149,1.1153,1.0757,0.1508,-0.1727,0.1438,-0.1916,0.1595,-0.176,0.1431,-0.1805,0.4477,0.2599,0.2924,0.4581,1
"Iraq","United Arab Emirates","2015-01-30","AFC-K",2,3,0,0.3928,0.415,0.338,0.4699,0.0513,-0.0669,0.0563,-0.0686,0.0598,-0.0418,0.081,-0.0603,0.3545,0.2782,0.3674,0.6032,1
"Australia","United Arab Emirates","2015-01-27","AFC-K",2,0,1,1.0014,0.4898,1.0757,0.415,0.1457,-0.1555,0.0747,-0.0727,0.1508,-0.1727,0.0563,-0.0686,0.645,0.1976,0.1574,0.1898,1
"South Korea","Iraq","2015-01-26","AFC-K",2,0,0,1.0069,0.5029,1.1149,0.3928,0.127,-0.1759,0.0711,-0.0802,0.1438,-0.1916,0.0513,-0.0669,0.5059,0.2667,0.2274,0.367,1
"Japan","United Arab Emirates","2015-01-23","AFC-K",1,1,0,1.0928,0.4248,1.0283,0.4898,0.1607,-0.1681,0.0683,-0.0595,0.1492,-0.1602,0.0747,-0.0727,0.5744,0.2349,0.1907,0.9517,0
"Iran","Iraq","2015-01-23","AFC-K",3,3,0,0.9793,0.4519,0.9281,0.5029,0.121,-0.1736,0.0364,-0.0995,0.1393,-0.1399,0.0711,-0.0802,0.4967,0.2825,0.2208,0.8103,0
"South Korea","Uzbekistan","2015-01-22","AFC-K",2,0,0,0.8727,0.6431,1.0069,0.5059,0.106,-0.1565,0.094,-0.0994,0.127,-0.1759,0.0698,-0.0824,0.4236,0.2818,0.2946,0.4984,1
"Australia","China","2015-01-22","AFC-K",2,0,1,0.9137,0.5333,1.0014,0.4465,0.1399,-0.1349,0.0723,-0.0881,0.1457,-0.1555,0.0538,-0.0805,0.601,0.2129,0.1861,0.2392,1
"Japan","Jordan","2015-01-20","AFC-G",2,0,0,0.9903,0.4171,1.0928,0.315,0.1495,-0.1484,0.0594,-0.0661,0.1607,-0.1681,0.0405,-0.0542,0.5422,0.2458,0.212,0.3149,1
"Iraq","Palestine","2015-01-20","AFC-G",2,0,0,0.4342,-1.0081,0.4519,-1.0266,0.0313,-0.0993,-0.1355,0.1677,0.0364,-0.0995,-0.1456,0.1633,0.7826,0.1483,0.0691,0.074,1
"Qatar","Bahrain","2015-01-19","AFC-G",1,2,0,0.1563,0.1568,0.0867,0.2259,0.0124,-0.0346,0.0038,-0.0433,0.0077,-0.0184,0.0216,-0.0463,0.356,0.2876,0.3563,0.6238,1
"Iran","United Arab Emirates","2015-01-19","AFC-G",1,0,0,0.937,0.4688,0.9793,0.4248,0.1205,-0.1613,0.0882,-0.0528,0.121,-0.1736,0.0683,-0.0595,0.5089,0.2543,0.2368,0.3619,1
"Uzbekistan","Saudi Arabia","2015-01-18","AFC-G",3,1,0,0.5173,0.5136,0.6431,0.3873,0.0636,-0.092,0.0678,-0.0867,0.094,-0.0994,0.0594,-0.0571,0.3592,0.2836,0.3572,0.6186,1
"China","North Korea","2015-01-18","AFC-G",2,1,0,0.5273,-0.1265,0.5333,-0.1325,0.065,-0.0936,-0.0411,-0.003,0.0723,-0.0881,-0.0341,0.0057,0.5471,0.2582,0.1947,0.3097,1
"Oman","Kuwait","2015-01-17","AFC-G",1,0,0,0.211,-0.0325,0.2751,-0.0983,2e-04,-0.0632,-0.0098,-1e-04,0.0061,-0.0766,-0.0286,9e-04,0.4242,0.2862,0.2897,0.4974,1
"Australia","South Korea","2015-01-17","AFC-G",0,1,1,1.0304,0.7599,0.9137,0.8727,0.1703,-0.1396,0.0952,-0.1333,0.1399,-0.1349,0.106,-0.1565,0.5652,0.2228,0.212,0.99,0
"Palestine","Jordan","2015-01-16","AFC-G",1,5,0,-0.9092,0.3203,-1.0081,0.4171,-0.1383,0.1352,0.0225,-0.0739,-0.1355,0.1677,0.0594,-0.0661,0.096,0.1833,0.7207,0.1208,1
"Iraq","Japan","2015-01-16","AFC-G",0,1,0,0.4763,0.9464,0.4342,0.9903,0.0417,-0.1015,0.1552,-0.1294,0.0313,-0.0993,0.1495,-0.1484,0.2358,0.2622,0.502,0.3724,1
"Qatar","Iran","2015-01-15","AFC-G",0,1,0,0.1723,0.9211,0.1563,0.937,0.0244,-0.0274,0.1255,-0.1516,0.0124,-0.0346,0.1205,-0.1613,0.1747,0.2354,0.5899,0.2541,1
"Bahrain","United Arab Emirates","2015-01-15","AFC-G",1,2,0,0.2043,0.4191,0.1568,0.4688,0.0018,-0.0596,0.0805,-0.0455,0.0038,-0.0433,0.0882,-0.0528,0.3012,0.273,0.4258,0.495,1
"North Korea","Saudi Arabia","2015-01-14","AFC-G",1,4,0,0.0125,0.3727,-0.1265,0.5136,-0.0419,-0.0457,0.0279,-0.0842,-0.0411,-0.003,0.0678,-0.0867,0.2562,0.3025,0.4413,0.4693,1
"China","Uzbekistan","2015-01-14","AFC-G",2,1,0,0.4424,0.6021,0.5273,0.5173,0.0445,-0.0886,0.0685,-0.1126,0.065,-0.0936,0.0636,-0.092,0.3098,0.2933,0.3969,0.7199,0
"Kuwait","South Korea","2015-01-13","AFC-G",0,1,0,-0.0178,0.7455,-0.0325,0.7599,0.0034,0.0088,0.1007,-0.1235,-0.0098,-1e-04,0.0952,-0.1333,0.1712,0.2284,0.6004,0.2412,1
"Australia","Oman","2015-01-13","AFC-G",4,0,1,0.8595,0.3728,1.0304,0.211,0.1475,-0.111,0.0162,-0.0959,0.1703,-0.1396,2e-04,-0.0632,0.6255,0.21,0.1645,0.2114,1
"Jordan","Iraq","2015-01-12","AFC-G",0,1,0,0.4116,0.3854,0.3203,0.4763,0.0423,-0.0815,0.0331,-0.0828,0.0225,-0.0739,0.0417,-0.1015,0.3594,0.2955,0.3451,0.6454,0
"Japan","Palestine","2015-01-12","AFC-G",4,0,0,0.8419,-0.8065,0.9464,-0.9092,0.1363,-0.1169,-0.1295,0.1131,0.1552,-0.1294,-0.1383,0.1352,0.8436,0.1098,0.0466,0.0387,1
"United Arab Emirates","Qatar","2015-01-11","AFC-G",4,1,0,0.2299,0.3578,0.4191,0.1723,0.0398,-0.0294,0.0355,-0.0721,0.0805,-0.0455,0.0244,-0.0274,0.3248,0.2764,0.3988,0.6913,0
"Iran","Bahrain","2015-01-11","AFC-G",2,0,0,0.8104,0.313,0.9211,0.2043,0.1108,-0.133,0.0164,-0.0778,0.1255,-0.1516,0.0018,-0.0596,0.4969,0.2748,0.2283,0.3807,1
"Uzbekistan","North Korea","2015-01-10","AFC-G",1,0,0,0.5627,0.0509,0.6021,0.0125,0.0695,-0.0997,-0.0345,-0.0498,0.0685,-0.1126,-0.0419,-0.0457,0.4925,0.2833,0.2242,0.3881,1
"South Korea","Oman","2015-01-10","AFC-G",1,0,0,0.6793,0.4366,0.7455,0.3728,0.1002,-0.1041,0.0285,-0.1029,0.1007,-0.1235,0.0162,-0.0959,0.4228,0.2878,0.2894,0.4997,1
"Saudi Arabia","China","2015-01-10","AFC-G",0,1,0,0.4738,0.3406,0.3727,0.4424,0.0485,-0.094,0.0361,-0.0664,0.0279,-0.0842,0.0445,-0.0886,0.3916,0.2903,0.3181,0.7026,0
"Australia","Kuwait","2015-01-09","AFC-G",4,1,1,0.8097,0.0314,0.8595,-0.0178,0.1337,-0.1098,0.0016,-0.0078,0.1475,-0.111,0.0034,0.0088,0.7366,0.1572,0.1062,0.1054,1
