"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeAdvantage","HomeStrAgg","AwayStrAgg","HomeStrAggNext","AwayStrAggNext","HomeAttack","HomeDefense","AwayAttack","AwayDefense","HomeAttackNext","HomeDefenseNext","AwayAttackNext","AwayDefenseNext","HomeWin","Tie","AwayWin","SSE","IsCorrect"
"Argentina","Chile","2016-06-27","COP-K",0,0,0,2.3311,2.0744,2.3063,2.0995,0.3632,-0.338,0.3377,-0.2863,0.3403,-0.3535,0.3197,-0.3118,0.4586,0.2456,0.2958,0.8669,0
"United States","Colombia","2016-06-26","COP-K",0,1,1,1.2416,1.3734,1.1655,1.4489,0.1808,-0.1927,0.1926,-0.2205,0.1606,-0.19,0.1968,-0.239,0.4235,0.2556,0.3209,0.7059,0
"Colombia","Chile","2016-06-23","COP-K",0,2,0,1.4824,1.9601,1.3734,2.0744,0.2108,-0.2351,0.3319,-0.2578,0.1926,-0.2205,0.3377,-0.2863,0.2349,0.2387,0.5264,0.3365,1
"United States","Argentina","2016-06-22","COP-K",0,4,1,1.4353,2.1332,1.2416,2.3311,0.2022,-0.2296,0.3302,-0.3115,0.1808,-0.1927,0.3632,-0.338,0.2553,0.2364,0.5083,0.3628,1
"Mexico","Chile","2016-06-19","COP-K",0,7,0,1.7941,1.5569,1.399,1.9601,0.272,-0.2676,0.2608,-0.2076,0.2278,-0.193,0.3319,-0.2578,0.4485,0.2511,0.3004,0.7536,0
"Argentina","Venezuela","2016-06-19","COP-K",4,1,0,2.0664,0.9503,2.1332,0.8838,0.3059,-0.3157,0.1318,-0.1541,0.3302,-0.3115,0.1372,-0.1286,0.6979,0.1916,0.1106,0.1402,1
"Peru","Colombia","2016-06-18","COP-K",0,0,0,1.1827,1.5149,1.2146,1.4824,0.1646,-0.1912,0.2335,-0.2221,0.1552,-0.2102,0.2108,-0.2351,0.2707,0.2657,0.4636,0.8274,0
"United States","Ecuador","2016-06-17","COP-K",2,1,1,1.4019,1.3829,1.4353,1.3488,0.1932,-0.2285,0.2133,-0.2027,0.2022,-0.2296,0.2077,-0.198,0.4761,0.2456,0.2783,0.4122,1
"Chile","Panama","2016-06-15","COP-G",4,2,0,1.5142,0.8645,1.5569,0.8221,0.2359,-0.2196,0.1271,-0.1329,0.2608,-0.2076,0.1413,-0.106,0.5713,0.2342,0.1945,0.2765,1
"Argentina","Bolivia","2016-06-15","COP-G",3,0,0,2.0054,0.4232,2.0664,0.361,0.2946,-0.3087,0.0763,-0.051,0.3059,-0.3157,0.0652,-0.0433,0.8322,0.1161,0.0517,0.0443,1
"Uruguay","Jamaica","2016-06-14","COP-G",3,0,0,1.2707,0.6666,1.4275,0.5106,0.1751,-0.2071,0.079,-0.1215,0.2026,-0.2268,0.0604,-0.0932,0.5315,0.2633,0.2052,0.3309,1
"Mexico","Venezuela","2016-06-14","COP-G",1,1,0,1.8964,0.8496,1.7941,0.9503,0.2911,-0.2794,0.1171,-0.1385,0.272,-0.2676,0.1318,-0.1541,0.6863,0.1939,0.1198,1.1352,0
"Ecuador","Haiti","2016-06-13","COP-G",4,0,0,1.2,0.3606,1.3829,0.1793,0.1808,-0.1802,0.045,-0.0634,0.2133,-0.2027,0.0246,-0.0293,0.6215,0.2219,0.1565,0.217,1
"Brazil","Peru","2016-06-13","COP-G",0,1,0,1.5836,1.0431,1.4413,1.1827,0.2527,-0.2237,0.1526,-0.1612,0.2186,-0.2149,0.1646,-0.1912,0.5391,0.2414,0.2195,0.9581,0
"United States","Paraguay","2016-06-12","COP-G",1,0,1,1.384,0.8664,1.4019,0.8486,0.2005,-0.2158,0.1193,-0.1414,0.1932,-0.2285,0.1072,-0.148,0.6372,0.2049,0.1579,0.1985,1
"Colombia","Costa Rica","2016-06-12","COP-G",2,3,0,1.6298,1.0433,1.5149,1.1563,0.2332,-0.257,0.1245,-0.1894,0.2335,-0.2221,0.163,-0.1848,0.522,0.2692,0.2088,0.971,0
"Chile","Bolivia","2016-06-11","COP-G",2,1,0,1.5591,0.3779,1.5142,0.4232,0.2402,-0.2288,0.0681,-0.0456,0.2359,-0.2196,0.0763,-0.051,0.7406,0.1632,0.0961,0.1032,1
"Argentina","Panama","2016-06-11","COP-G",5,0,0,1.764,1.1069,2.0054,0.8645,0.2455,-0.2851,0.1518,-0.1812,0.2946,-0.3087,0.1271,-0.1329,0.5492,0.2568,0.194,0.3068,1
"Uruguay","Venezuela","2016-06-10","COP-G",0,1,0,1.4307,0.6886,1.2707,0.8496,0.2075,-0.2228,0.1025,-0.1046,0.1751,-0.2071,0.1171,-0.1385,0.5917,0.2327,0.1757,1.0837,0
"Mexico","Jamaica","2016-06-10","COP-G",2,0,0,1.8475,0.7139,1.8964,0.6666,0.2903,-0.2655,0.0862,-0.1286,0.2911,-0.2794,0.079,-0.1215,0.7082,0.1848,0.107,0.1307,1
"Ecuador","Peru","2016-06-09","COP-G",2,2,0,1.219,1.0243,1.2,1.0431,0.1715,-0.1952,0.1365,-0.1716,0.1808,-0.1802,0.1526,-0.1612,0.4127,0.2838,0.3035,0.7754,0
"Brazil","Haiti","2016-06-09","COP-G",7,1,0,1.3714,0.5679,1.5836,0.3606,0.194,-0.2185,0.0438,-0.127,0.2527,-0.2237,0.045,-0.0634,0.5799,0.254,0.1661,0.2686,1
"United States","Costa Rica","2016-06-08","COP-G",4,0,1,1.1569,1.264,1.384,1.0433,0.1637,-0.1843,0.1491,-0.2311,0.2005,-0.2158,0.1245,-0.1894,0.42,0.2713,0.3088,0.5054,1
"Colombia","Paraguay","2016-06-08","COP-G",2,1,0,1.6355,0.8607,1.6298,0.8664,0.2268,-0.2651,0.1113,-0.1476,0.2332,-0.257,0.1193,-0.1414,0.5827,0.2465,0.1707,0.264,1
