"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeAdvantage","HomeStrAgg","AwayStrAgg","HomeStrAggNext","AwayStrAggNext","HomeAttack","HomeDefense","AwayAttack","AwayDefense","HomeAttackNext","HomeDefenseNext","AwayAttackNext","AwayDefenseNext","HomeWin","Tie","AwayWin","SSE","IsCorrect"
"France","Portugal","2016-07-10","EUC-K",0,1,1,1.7771,1.5339,1.6647,1.6457,0.26,-0.2746,0.2184,-0.2429,0.2346,-0.2661,0.2278,-0.2673,0.5473,0.2334,0.2193,0.9635,0
"France","Germany","2016-07-07","EUC-K",2,0,1,1.6114,2.0271,1.7771,1.864,0.2419,-0.2428,0.2886,-0.3212,0.26,-0.2746,0.2602,-0.3005,0.3353,0.2552,0.4095,0.6746,0
"Portugal","Wales","2016-07-06","EUC-K",2,0,0,1.3863,1.2813,1.5339,1.1334,0.1984,-0.2186,0.1849,-0.2005,0.2184,-0.2429,0.16,-0.1809,0.3904,0.2794,0.3301,0.5586,1
"France","Iceland","2016-07-03","EUC-K",5,2,1,1.5557,1.1813,1.6114,1.1247,0.2102,-0.2578,0.1742,-0.1811,0.2419,-0.2428,0.1851,-0.1532,0.5858,0.2252,0.189,0.258,1
"Germany","Italy","2016-07-02","EUC-K",1,1,0,2.0818,1.52,2.0271,1.5742,0.296,-0.3302,0.2017,-0.2555,0.2886,-0.3212,0.2126,-0.2609,0.5149,0.2711,0.214,0.8422,0
"Wales","Belgium","2016-07-01","EUC-K",3,1,0,1.1016,1.661,1.2813,1.4793,0.1452,-0.1862,0.2414,-0.2582,0.1849,-0.2005,0.2245,-0.2205,0.215,0.2621,0.5229,0.9583,0
"Poland","Portugal","2016-06-30","EUC-K",1,1,0,1.4322,1.3813,1.4273,1.3863,0.1961,-0.2347,0.1984,-0.2171,0.1966,-0.2327,0.1984,-0.2186,0.3712,0.2862,0.3426,0.7647,0
"Italy","Spain","2016-06-27","EUC-K",2,0,0,1.3248,1.7256,1.52,1.5273,0.1711,-0.2274,0.248,-0.2711,0.2017,-0.2555,0.2163,-0.2431,0.2506,0.2802,0.4692,0.8603,0
"England","Iceland","2016-06-27","EUC-K",1,2,0,1.5203,1.0677,1.4075,1.1813,0.2121,-0.2452,0.1519,-0.1693,0.2019,-0.2214,0.1742,-0.1811,0.4923,0.2682,0.2395,0.8927,0
"Hungary","Belgium","2016-06-26","EUC-K",0,4,0,0.9893,1.4443,0.7673,1.661,0.1592,-0.1384,0.2005,-0.2339,0.1288,-0.102,0.2414,-0.2582,0.2399,0.2573,0.5029,0.3709,1
"Germany","Slovakia","2016-06-26","EUC-K",3,0,0,1.9703,0.905,2.0818,0.7931,0.2741,-0.3185,0.1176,-0.1546,0.296,-0.3302,0.1051,-0.1334,0.6649,0.2139,0.1212,0.1727,1
"France","Republic of Ireland","2016-06-26","EUC-K",2,1,1,1.5651,1.1005,1.5557,1.11,0.2052,-0.2656,0.1451,-0.1859,0.2102,-0.2578,0.1511,-0.1828,0.5996,0.2289,0.1715,0.2421,1
"Wales","Northern Ireland","2016-06-25","EUC-K",1,0,0,1.0301,0.8497,1.1016,0.7791,0.1417,-0.1681,0.1018,-0.1537,0.1452,-0.1862,0.0864,-0.1479,0.4047,0.2898,0.3054,0.5316,1
"Switzerland","Poland","2016-06-25","EUC-K",1,1,0,1.2182,1.4553,1.2411,1.4322,0.1572,-0.2092,0.1981,-0.2397,0.1632,-0.2101,0.1961,-0.2347,0.2895,0.2925,0.418,0.7591,0
"Croatia","Portugal","2016-06-25","EUC-K",0,1,0,1.3758,1.2836,1.2786,1.3813,0.2027,-0.2112,0.1937,-0.1924,0.179,-0.2056,0.1984,-0.2171,0.3913,0.2719,0.3368,0.6669,0
"Sweden","Belgium","2016-06-22","EUC-G",0,1,0,1.0409,1.3895,0.9862,1.4443,0.1445,-0.1686,0.2005,-0.2175,0.1287,-0.1679,0.2005,-0.2339,0.2652,0.2721,0.4627,0.4331,1
"Italy","Republic of Ireland","2016-06-22","EUC-G",0,1,0,1.4609,0.963,1.3248,1.1005,0.197,-0.2424,0.1318,-0.1579,0.1711,-0.2274,0.1451,-0.1859,0.5004,0.2711,0.2285,0.9191,0
"Iceland","Austria","2016-06-22","EUC-G",2,1,0,0.986,1.1103,1.0677,1.0292,0.1331,-0.1635,0.1446,-0.1894,0.1519,-0.1693,0.1403,-0.1693,0.3205,0.2903,0.3892,0.6975,0
"Hungary","Portugal","2016-06-22","EUC-G",3,3,0,0.9538,1.3188,0.9893,1.2836,0.1304,-0.1565,0.1732,-0.2235,0.1592,-0.1384,0.1937,-0.1924,0.2593,0.2814,0.4593,0.7946,0
"Ukraine","Poland","2016-06-21","EUC-G",0,1,0,0.9512,1.4111,0.9075,1.4553,0.1181,-0.168,0.1986,-0.2258,0.1065,-0.1664,0.1981,-0.2397,0.237,0.2756,0.4875,0.3948,1
"Northern Ireland","Germany","2016-06-21","EUC-G",0,1,0,0.8248,1.9953,0.8497,1.9703,0.1041,-0.144,0.2848,-0.3154,0.1018,-0.1537,0.2741,-0.3185,0.1052,0.1964,0.6984,0.1406,1
"Czech Republic","Turkey","2016-06-21","EUC-G",0,2,0,1.0373,0.8318,0.857,1.0072,0.1619,-0.1501,0.1031,-0.1471,0.1295,-0.1283,0.1296,-0.1734,0.4211,0.2759,0.303,0.7393,0
"Croatia","Spain","2016-06-21","EUC-G",2,1,0,1.2472,1.8532,1.3758,1.7256,0.1779,-0.1972,0.26,-0.2974,0.2027,-0.2112,0.248,-0.2711,0.2048,0.2578,0.5374,0.9876,0
"Slovakia","England","2016-06-20","EUC-G",0,0,0,0.8311,1.5944,0.905,1.5203,0.1228,-0.1272,0.2401,-0.2395,0.1176,-0.1546,0.2121,-0.2452,0.1709,0.2264,0.6027,0.9909,0
"Russia","Wales","2016-06-20","EUC-G",0,3,0,1.1151,0.7837,0.8674,1.0301,0.1561,-0.1794,0.1005,-0.1352,0.1218,-0.1391,0.1417,-0.1681,0.4536,0.2778,0.2686,0.8179,0
"Romania","Albania","2016-06-19","EUC-G",0,1,0,0.9817,0.5555,0.8511,0.6846,0.1228,-0.1725,0.0473,-0.1197,0.0981,-0.1579,0.0639,-0.142,0.4656,0.2917,0.2427,0.8754,0
"France","Switzerland","2016-06-19","EUC-G",0,0,1,1.6067,1.1763,1.5651,1.2182,0.225,-0.2584,0.1655,-0.1884,0.2052,-0.2656,0.1572,-0.2092,0.6032,0.2198,0.1769,1.0039,0
"Portugal","Austria","2016-06-18","EUC-G",0,0,0,1.3439,1.0852,1.3188,1.1103,0.1917,-0.2125,0.1562,-0.1702,0.1732,-0.2235,0.1446,-0.1894,0.4367,0.2746,0.2887,0.8003,0
"Iceland","Hungary","2016-06-18","EUC-G",1,1,0,0.9901,0.9496,0.986,0.9538,0.1333,-0.1646,0.1297,-0.1559,0.1331,-0.1635,0.1304,-0.1565,0.3683,0.2863,0.3454,0.7643,0
"Belgium","Republic of Ireland","2016-06-18","EUC-G",3,0,0,1.1735,1.1779,1.3895,0.963,0.165,-0.188,0.16,-0.1943,0.2005,-0.2175,0.1318,-0.1579,0.3556,0.2864,0.358,0.6254,0
"Spain","Turkey","2016-06-17","EUC-G",3,0,0,1.709,0.9754,1.8532,0.8318,0.2329,-0.2812,0.1185,-0.1749,0.26,-0.2974,0.1031,-0.1471,0.5605,0.2604,0.1791,0.293,1
