"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeAdvantage","HomeWin","Tie","AwayWin","SSE","IsCorrect"
"France","Portugal","07/10/16","EUC-K",0,1,1,0.4879,0.2471,0.265,0.8393,0
"France","Germany","07/07/16","EUC-K",2,0,1,0.3692,0.2616,0.3693,0.6027,0
"Portugal","Wales","07/06/16","EUC-K",2,0,0,0.4151,0.2704,0.3144,0.5141,1
"France","Iceland","07/03/16","EUC-K",5,2,1,0.4909,0.2495,0.2596,0.3888,1
"Germany","Italy","07/02/16","EUC-K",1,1,0,0.4434,0.2787,0.2779,0.7941,0
"Wales","Belgium","07/01/16","EUC-K",3,1,0,0.2857,0.2724,0.4419,0.7797,0
"Poland","Portugal","06/30/16","EUC-K",1,1,0,0.3711,0.2739,0.355,0.791,0
"Italy","Spain","06/27/16","EUC-K",2,0,0,0.2493,0.2797,0.4709,0.8635,0
"England","Iceland","06/27/16","EUC-K",1,2,0,0.4436,0.2715,0.2849,0.7819,0
"Hungary","Belgium","06/26/16","EUC-K",0,4,0,0.3011,0.2595,0.4394,0.4723,1
"Germany","Slovakia","06/26/16","EUC-K",3,0,0,0.6016,0.2292,0.1692,0.2399,1
"France","Republic of Ireland","06/26/16","EUC-K",2,1,1,0.5032,0.2567,0.2401,0.3704,1
"Wales","Northern Ireland","06/25/16","EUC-K",1,0,0,0.4059,0.2742,0.3199,0.5305,1
"Switzerland","Poland","06/25/16","EUC-K",1,1,0,0.3066,0.2785,0.415,0.7868,0
"Croatia","Portugal","06/25/16","EUC-K",0,1,0,0.3503,0.2684,0.3813,0.5775,1
"Sweden","Belgium","06/22/16","EUC-G",0,1,0,0.3041,0.263,0.4329,0.4832,1
"Italy","Republic of Ireland","06/22/16","EUC-G",0,1,0,0.436,0.2733,0.2907,0.7679,0
"Iceland","Austria","06/22/16","EUC-G",2,1,0,0.3401,0.2775,0.3824,0.6587,0
"Hungary","Portugal","06/22/16","EUC-G",3,3,0,0.2858,0.2697,0.4444,0.8125,0
"Ukraine","Poland","06/21/16","EUC-G",0,1,0,0.2718,0.2708,0.4574,0.4416,1
"Northern Ireland","Germany","06/21/16","EUC-G",0,1,0,0.1855,0.2343,0.5801,0.2656,1
"Czech Republic","Turkey","06/21/16","EUC-G",0,2,0,0.3515,0.2583,0.3902,0.5621,1
"Croatia","Spain","06/21/16","EUC-G",2,1,0,0.1987,0.2637,0.5376,1.0006,0
"Slovakia","England","06/20/16","EUC-G",0,0,0,0.1874,0.227,0.5855,0.9755,0
"Russia","Wales","06/20/16","EUC-G",0,3,0,0.4134,0.2726,0.314,0.7158,0
"Romania","Albania","06/19/16","EUC-G",0,1,0,0.4822,0.2794,0.2384,0.8906,0
"France","Switzerland","06/19/16","EUC-G",0,0,1,0.5254,0.2425,0.2321,0.9037,0
"Portugal","Austria","06/18/16","EUC-G",0,0,0,0.3864,0.2686,0.345,0.8033,0
"Iceland","Hungary","06/18/16","EUC-G",1,1,0,0.4137,0.2683,0.318,0.8077,0
"Belgium","Republic of Ireland","06/18/16","EUC-G",3,0,0,0.3285,0.2728,0.3987,0.6843,0
"Spain","Turkey","06/17/16","EUC-G",3,0,0,0.5432,0.2641,0.1928,0.3156,1
"Italy","Sweden","06/17/16","EUC-G",1,0,0,0.4434,0.262,0.2946,0.4652,1
"Czech Republic","Croatia","06/17/16","EUC-G",2,2,0,0.2763,0.2597,0.4639,0.8396,0
"Ukraine","Northern Ireland","06/16/16","EUC-G",0,2,0,0.4585,0.2725,0.269,0.8188,0
"Germany","Poland","06/16/16","EUC-G",0,0,0,0.4739,0.2487,0.2773,0.8659,0
"England","Wales","06/16/16","EUC-G",2,1,0,0.5422,0.2557,0.2021,0.3158,1
"Russia","Slovakia","06/15/16","EUC-G",1,2,0,0.4915,0.2552,0.2533,0.8643,0
"Romania","Switzerland","06/15/16","EUC-G",1,1,0,0.3449,0.2889,0.3663,0.7588,0
"France","Albania","06/15/16","EUC-G",2,0,1,0.6307,0.2141,0.1551,0.2063,1
"Portugal","Iceland","06/14/16","EUC-G",1,1,0,0.4047,0.2716,0.3236,0.7991,0
"Austria","Hungary","06/14/16","EUC-G",0,2,0,0.5275,0.2465,0.226,0.9381,0
"Spain","Czech Republic","06/13/16","EUC-G",1,0,0,0.6165,0.2189,0.1646,0.2221,1
"Republic of Ireland","Sweden","06/13/16","EUC-G",1,1,0,0.4269,0.2678,0.3053,0.8116,0
"Belgium","Italy","06/13/16","EUC-G",0,2,0,0.3708,0.2677,0.3616,0.6167,0
"Turkey","Croatia","06/12/16","EUC-G",0,1,0,0.3667,0.2793,0.354,0.6298,0
"Poland","Northern Ireland","06/12/16","EUC-G",1,0,0,0.5167,0.2317,0.2516,0.3506,1
"Germany","Ukraine","06/12/16","EUC-G",2,0,0,0.4627,0.2677,0.2696,0.433,1
"Wales","Slovakia","06/11/16","EUC-G",2,1,0,0.3791,0.2836,0.3373,0.5797,1
"England","Russia","06/11/16","EUC-G",1,1,0,0.4888,0.2683,0.2428,0.8333,0
"Albania","Switzerland","06/11/16","EUC-G",0,1,0,0.2759,0.2695,0.4545,0.4463,1
"France","Romania","06/10/16","EUC-G",2,1,1,0.4817,0.2704,0.2479,0.4032,1
