HomeTeam,AwayTeam,Date,Contest,HomeGoals,AwayGoals,HomeAttack,HomeDefense,AwayAttack,AwayDefense,HomeAdvantage
"Spain","Russia","2008/06/10","EUC-G",4,1,1.8274,0.6562,1.3265,0.7609,0
"Greece","Sweden","2008/06/10","EUC-G",0,2,1.5082,0.8771,1.6506,0.7047,0
"Spain","Italy","2012/06/10","EUC-G",1,1,2.8063,0.782,1.5204,0.6485,0
"Republic of Ireland","Croatia","2012/06/10","EUC-G",1,3,1.2108,0.83,1.5335,0.7853,0
"Czech Republic","Portugal","2008/06/11","EUC-G",1,3,1.593,0.6151,1.647,0.6962,0
"Switzerland","Turkey","2008/06/11","EUC-G",1,2,0.9977,0.8628,1.4556,1.0417,1
"France","England","2012/06/11","EUC-G",1,1,1.3332,0.8021,2.2507,0.6971,0
"Ukraine","Sweden","2012/06/11","EUC-G",2,1,1.3934,0.8221,1.8812,0.9614,1
"Spain","Russia","2004/06/12","EUC-G",1,0,1.914,0.6898,1.6668,0.9482,0
"Portugal","Greece","2004/06/12","EUC-G",2,1,1.8317,0.8412,1.0601,0.7796,1
"Croatia","Germany","2008/06/12","EUC-G",2,1,1.4542,0.6181,1.5981,0.6004,0
"Austria","Poland","2008/06/12","EUC-G",1,1,0.9694,0.9869,1.3777,1.1309,1
"Greece","Czech Republic","2012/06/12","EUC-G",1,2,1.1709,0.8685,1.5231,1.1165,0
"Poland","Russia","2012/06/12","EUC-G",1,1,1.339,1.2288,1.9367,0.7425,1
"France","England","2004/06/13","EUC-G",2,1,2.1176,0.7121,1.3355,0.7727,0
"Switzerland","Croatia","2004/06/13","EUC-G",0,0,1.4892,1.0145,1.1752,0.5729,0
"Netherlands","France","2008/06/13","EUC-G",4,1,1.5603,0.4891,1.2634,0.5033,0
"Italy","Romania","2008/06/13","EUC-G",1,1,1.3837,1.1118,1.3734,0.7142,0
"Denmark","Portugal","2012/06/13","EUC-G",2,3,1.718,0.5198,1.6243,0.8915,0
"Netherlands","Germany","2012/06/13","EUC-G",1,2,1.6493,0.7322,1.9547,0.7123,0
"Sweden","Bulgaria","2004/06/14","EUC-G",5,0,1.5109,0.6623,1.3624,0.9691,0
"Denmark","Italy","2004/06/14","EUC-G",0,0,1.8227,1.0304,1.8212,0.7363,0
"Sweden","Spain","2008/06/14","EUC-G",1,2,1.8152,0.6165,2.314,0.7069,0
"Greece","Russia","2008/06/14","EUC-G",0,1,1.3252,0.9672,1.4274,0.9665,0
"Spain","Ireland","2012/06/14","EUC-G",4,0,2.6235,0.7971,1,1,0
"Italy","Croatia","2012/06/14","EUC-G",1,1,1.5531,0.6105,1.8661,0.8312,0
"Czech Republic","Latvia","2004/06/15","EUC-G",2,1,2.0536,0.7465,1.1939,1.0197,0
"Germany","Netherlands","2004/06/15","EUC-G",1,1,1.3462,0.9077,2.0497,0.7942,0
"Turkey","Czech Republic","2008/06/15","EUC-G",3,2,1.7318,1.0746,1.6271,0.7358,0
"Switzerland","Portugal","2008/06/15","EUC-G",2,0,1.055,0.9532,1.9995,0.7099,1
"Sweden","England","2012/06/15","EUC-G",2,3,1.7507,1.0989,2.1214,0.7627,0
"Ukraine","France","2012/06/15","EUC-G",0,2,1.8301,0.796,1.4427,0.7493,1
"Greece","Spain","2004/06/16","EUC-G",1,1,1.2779,0.8958,1.8081,0.5937,0
"Portugal","Russia","2004/06/16","EUC-G",2,0,2.3331,0.9352,1.4264,0.8976,1
"Poland","Croatia","2008/06/16","EUC-G",0,1,1.3636,1.1576,1.6947,0.6426,0
"Austria","Germany","2008/06/16","EUC-G",0,1,1.0122,0.9815,1.6596,0.7027,1
"Greece","Russia","2012/06/16","EUC-G",1,0,1.17,0.9577,1.7324,0.7759,0
"Poland","Czech Republic","2012/06/16","EUC-G",0,1,1.435,1.1477,1.6943,1.1157,1
"England","Switzerland","2004/06/17","EUC-G",3,0,1.4597,0.8454,1.2571,0.8695,0
"Croatia","France","2004/06/17","EUC-G",2,2,0.9637,0.502,2.3351,0.7728,0
"Netherlands","Romania","2008/06/17","EUC-G",2,0,2.0982,0.5473,1.3467,0.7436,0
"France","Italy","2008/06/17","EUC-G",0,2,1.4096,0.6819,1.4413,1.0904,0
"Portugal","Netherlands","2012/06/17","EUC-G",2,1,2.1528,0.9478,1.6757,0.7981,0
"Denmark","Germany","2012/06/17","EUC-G",1,2,1.8414,0.6684,2.132,0.7236,0
"Italy","Sweden","2004/06/18","EUC-G",1,1,1.3296,0.5562,2.1578,0.532,0
"Bulgaria","Denmark","2004/06/18","EUC-G",0,2,1.1035,1.3985,1.383,0.7483,0
"Russia","Sweden","2008/06/18","EUC-G",2,0,1.4169,0.8704,1.8185,0.6651,0
"Greece","Spain","2008/06/18","EUC-G",1,2,1.1957,0.96,2.4991,0.7082,0
"Italy","Ireland","2012/06/18","EUC-G",2,0,1.5548,0.6217,0.8793,1.2809,0
"Croatia","Spain","2012/06/18","EUC-G",0,1,1.9049,0.832,2.8566,0.4928,0
