HomeTeam,AwayTeam,Date,Contest,HomeGoals,AwayGoals,HomeAdvantage,HomeAttack,HomeDefense,AwayAttack,AwayDefense,HomeAttackNext,HomeDefenseNext,AwayAttackNext,AwayDefenseNext
"England","Iceland","2016/06/27","EUC-K",1,2,0,0.5423,-0.398,0.4168,-0.0831,0.5276,-0.3228,0.4919,-0.0977
"Italy","Spain","2016/06/27","EUC-K",2,0,0,0.4031,-0.4078,0.5996,-0.6256,0.5045,-0.4892,0.5195,-0.5228
"France","Republic of Ireland","2016/06/26","EUC-K",2,1,1,0.5964,-0.3519,0.1652,-0.2293,0.661,-0.3186,0.2273,-0.1947
"Germany","Slovakia","2016/06/26","EUC-K",3,0,0,0.5557,-0.4255,0.1909,-0.0016,0.6026,-0.4869,0.13,0.0456
"Hungary","Belgium","2016/06/26","EUC-K",0,4,0,0.4229,-0.0153,0.3234,-0.2825,0.3544,0.0698,0.3992,-0.3603
"Croatia","Portugal","2016/06/25","EUC-K",0,1,0,0.4542,-0.3073,0.3802,-0.2038,0.3716,-0.2912,0.3954,-0.2919
"Switzerland","Poland","2016/06/25","EUC-K",1,1,0,0.1629,-0.3416,0.5377,-0.2274,0.1902,-0.3364,0.543,-0.2002
"Wales","Northern Ireland","2016/06/25","EUC-K",1,0,0,0.2457,-0.1714,0.0478,-0.0635,0.252,-0.2378,-0.0189,-0.0572
"Hungary","Portugal","2016/06/22","EUC-G",3,3,0,0.3133,-0.1227,0.2935,-0.3392,0.4229,-0.0153,0.3802,-0.2038
"Iceland","Austria","2016/06/22","EUC-G",2,1,0,0.3346,-0.1057,0.128,-0.2805,0.4168,-0.0831,0.1507,-0.1987
"Italy","Republic of Ireland","2016/06/22","EUC-G",0,1,0,0.5041,-0.462,0.1025,-0.1432,0.4031,-0.4078,0.1652,-0.2293
"Sweden","Belgium","2016/06/22","EUC-G",0,1,0,0.3618,-0.0452,0.3247,-0.1902,0.2832,-0.0466,0.3234,-0.2825
"Croatia","Spain","2016/06/21","EUC-G",2,1,0,0.3014,-0.3041,0.6027,-0.7794,0.4542,-0.3073,0.5996,-0.6256
"Czech Republic","Turkey","2016/06/21","EUC-G",0,2,0,0.3818,0.1644,-0.032,-0.0586,0.2826,0.2366,0.0397,-0.1585
"Northern Ireland","Germany","2016/06/21","EUC-G",0,1,0,0.1188,-0.0404,0.579,-0.3549,0.0478,-0.0635,0.5557,-0.4255
"Ukraine","Poland","2016/06/21","EUC-G",0,1,0,-0.1157,-0.2241,0.5418,-0.1583,-0.1743,-0.229,0.5377,-0.2274
"Russia","Wales","2016/06/20","EUC-G",0,3,0,0.3212,-0.1913,0.1127,-0.0746,0.2252,-0.0575,0.2457,-0.1714
"Slovakia","England","2016/06/20","EUC-G",0,0,0,0.2727,0.117,0.6615,-0.3165,0.1909,-0.0016,0.5423,-0.398
"France","Switzerland","2016/06/19","EUC-G",0,0,1,0.8133,-0.2641,0.3315,-0.23,0.5964,-0.3519,0.1629,-0.3416
"Romania","Albania","2016/06/19","EUC-G",0,1,0,0.2728,-0.2363,-0.3664,-0.1069,0.1801,-0.1376,-0.2741,-0.2065
"Belgium","Republic of Ireland","2016/06/18","EUC-G",3,0,0,0.1615,-0.1016,0.2098,-0.2809,0.3247,-0.1902,0.1025,-0.1432
"Iceland","Hungary","2016/06/18","EUC-G",1,1,0,0.3277,-0.112,0.3057,-0.1284,0.3346,-0.1057,0.3133,-0.1227
"Portugal","Austria","2016/06/18","EUC-G",0,0,0,0.4229,-0.2375,0.2399,-0.163,0.2935,-0.3392,0.128,-0.2805
"Czech Republic","Croatia","2016/06/17","EUC-G",2,2,0,0.2504,0.1083,0.2458,-0.4366,0.3818,0.1644,0.3014,-0.3041
"Italy","Sweden","2016/06/17","EUC-G",1,0,0,0.5282,-0.3746,0.4675,-0.0251,0.5041,-0.462,0.3618,-0.0452
"Spain","Turkey","2016/06/17","EUC-G",3,0,0,0.5118,-0.7325,0.0153,-0.1488,0.6027,-0.7794,-0.032,-0.0586
"England","Wales","2016/06/16","EUC-G",2,1,0,0.6253,-0.3908,0.039,-0.111,0.6615,-0.3165,0.1127,-0.0746
"Germany","Poland","2016/06/16","EUC-G",0,0,0,0.7182,-0.2269,0.668,-0.0171,0.579,-0.3549,0.5418,-0.1583
"Ukraine","Northern Ireland","2016/06/16","EUC-G",0,2,0,-0.0307,-0.3943,-0.0244,0.063,-0.1157,-0.2241,0.1188,-0.0404
"France","Albania","2016/06/15","EUC-G",2,0,1,0.7633,-0.1814,-0.1859,-0.1312,0.8133,-0.2641,-0.3664,-0.1069
"Romania","Switzerland","2016/06/15","EUC-G",1,1,0,0.2406,-0.2605,0.3075,-0.2621,0.2728,-0.2363,0.3315,-0.23
"Russia","Slovakia","2016/06/15","EUC-G",1,2,0,0.3435,-0.3228,0.1421,0.1394,0.3212,-0.1913,0.2727,0.117
"Austria","Hungary","2016/06/14","EUC-G",0,2,0,0.3988,-0.288,0.1515,-0.0035,0.2399,-0.163,0.3057,-0.1284
"Portugal","Iceland","2016/06/14","EUC-G",1,1,0,0.4328,-0.2721,0.2892,-0.1032,0.4229,-0.2375,0.3277,-0.112
"Belgium","Italy","2016/06/13","EUC-G",0,2,0,0.2916,-0.1851,0.4444,-0.245,0.1615,-0.1016,0.5282,-0.3746
"Republic of Ireland","Sweden","2016/06/13","EUC-G",1,1,0,0.1992,-0.2912,0.4572,-0.0357,0.2098,-0.2809,0.4675,-0.0251
"Spain","Czech Republic","2016/06/13","EUC-G",1,0,0,0.57,-0.63,0.3553,0.1651,0.5118,-0.7325,0.2504,0.1083
"Germany","Ukraine","2016/06/12","EUC-G",2,0,0,0.6136,-0.129,0.0931,-0.4789,0.7182,-0.2269,-0.0307,-0.3943
"Poland","Northern Ireland","2016/06/12","EUC-G",1,0,0,0.7417,0.131,0.125,0.136,0.668,-0.0171,-0.0244,0.063
"Turkey","Croatia","2016/06/12","EUC-G",0,1,0,0.1254,-0.1805,0.2141,-0.3266,0.0153,-0.1488,0.2458,-0.4366
"Albania","Switzerland","2016/06/11","EUC-G",0,1,0,-0.0627,-0.1479,0.2889,-0.1522,-0.1859,-0.1312,0.3075,-0.2621
