"Player","Year","Contest","Apps","Goals For","Home Advantage"
"Aiden McGeady",2010,"Friendlies",1,0,1
"Aiden McGeady",2007,"EUC-Q",4,0,1
"Aiden McGeady",2005,"Friendlies",1,0,1
"Aiden McGeady",2005,"Friendlies",1,0,
"Aiden McGeady",2004,"Friendlies",1,0,
"Alan Dzagoev",2013,"WOC-Q",2,0,1
"Aleksandr Kokorin",2016,"Friendlies",1,1,1
"Aleksandr Kokorin",2015,"EUC-Q",9,3,
"Aleksandr Kokorin",2015,"Friendlies",1,1,1
"Aleksandr Kokorin",2014,"Friendlies",3,1,1
"Aleksandr Kokorin",2014,"Friendlies",2,0,-1
"Aleksandr Kokorin",2013,"Friendlies",2,0,
"Aleksandr Kokorin",2013,"WOC-Q",8,4,
"Aleksandr Kokorin",2012,"Friendlies",3,0,1
"Aleksandr Kokorin",2012,"Friendlies",2,0,
"Aleksandr Kokorin",2012,"Friendlies",1,0,-1
"Aleksandr Kokorin",2011,"Friendlies",1,0,-1
"Alexander Kerzhakov",2016,"Friendlies",1,0,
"Alexander Kerzhakov",2015,"EUC-Q",3,0,
"Alexander Kerzhakov",2015,"Friendlies",1,1,1
"Alexander Kerzhakov",2014,"Friendlies",4,3,1
"Alexander Kerzhakov",2014,"Friendlies",2,1,-1
"Alexander Kerzhakov",2013,"Friendlies",2,0,
"Alexander Kerzhakov",2013,"WOC-Q",10,5,
"Alexander Kerzhakov",2012,"Friendlies",2,1,1
"Alexander Kerzhakov",2012,"Friendlies",2,1,
"Alexander Kerzhakov",2012,"Friendlies",1,0,-1
"Alexander Kerzhakov",2011,"EUC-Q",5,2,
"Alexander Kerzhakov",2011,"Friendlies",1,0,1
"Alexander Kerzhakov",2011,"Friendlies",1,0,
"Alexander Kerzhakov",2009,"Friendlies",1,0,1
"Alexander Kerzhakov",2009,"WOC-Q",5,2,
"Alexander Kerzhakov",2007,"EUC-Q",9,5,
"Alexander Kerzhakov",2006,"Friendlies",2,0,1
"Alexander Kerzhakov",2006,"Friendlies",1,0,-1
"Alexander Kerzhakov",2005,"Friendlies",2,0,-1
"Alexander Kerzhakov",2005,"WOC-Q",10,4,
"Alexander Kerzhakov",2004,"Friendlies",1,0,1
"Alexander Kerzhakov",2004,"Friendlies",3,0,-1
"Alexander Kerzhakov",2003,"EUC-Q",7,2,
"Alexander Kerzhakov",2003,"Friendlies",1,0,1
"Alexander Kerzhakov",2003,"Friendlies",1,0,-1
"Alexander Kerzhakov",2002,"Friendlies",1,1,1
"Alexander Kerzhakov",2002,"Friendlies",3,0,-1
"Alvaro Negredo",2013,"Friendlies",2,0,
"Alvaro Negredo",2013,"Friendlies",3,1,-1
"Alvaro Negredo",2013,"WOC-Q",4,3,
"Alvaro Negredo",2012,"Friendlies",1,0,1
"Alvaro Negredo",2012,"Friendlies",2,1,
"Alvaro Negredo",2011,"EUC-Q",1,2,
"Alvaro Negredo",2011,"Friendlies",1,0,
"Alvaro Negredo",2011,"Friendlies",1,1,-1
"Alvaro Negredo",2009,"Friendlies",1,0,1
"Alvaro Negredo",2009,"WOC-Q",2,2,
"Anatoliy Tymoshchuk",2015,"EUC-Q",1,0,-1
"Anatoliy Tymoshchuk",2006,"Friendlies",1,0,
"Andre Schurrle",2015,"EUC-Q",1,0,1
"Andre Schurrle",2015,"EUC-Q",3,4,-1
"Andre Schurrle",2014,"Friendlies",2,1,1
"Andre Schurrle",2013,"WOC-Q",2,0,-1
"Andre Schurrle",2012,"Friendlies",2,1,1
"Andre Schurrle",2012,"Friendlies",1,0,-1
"Andre Schurrle",2012,"Friendlies",1,1,-1
"Andre Schurrle",2011,"EUC-Q",1,1,1
"Andre Schurrle",2011,"EUC-Q",3,1,-1
"Andre Schurrle",2011,"Friendlies",1,1,1
"Andrea Pirlo",2010,"Friendlies",1,0,
"Andrea Pirlo",2009,"Friendlies",1,0,
"Andrea Pirlo",2003,"Friendlies",1,0,1
"Andrea Pirlo",2001,"EUC-Q",1,0,-1
"Andres Iniesta",2011,"Friendlies",1,0,-1
"Andres Iniesta",2007,"EUC-Q",1,0,1
"Andres Iniesta",2007,"EUC-Q",3,2,-1
"Andres Iniesta",2006,"Friendlies",1,0,-1
"Andriy Shevchenko",2012,"Friendlies",1,0,
"Andriy Shevchenko",2011,"Friendlies",5,1,1
"Andriy Shevchenko",2010,"Friendlies",5,2,1
"Andriy Shevchenko",2010,"Friendlies",1,0,-1
"Andriy Shevchenko",2009,"Friendlies",1,0,1
"Andriy Shevchenko",2009,"WOC-Q",5,2,1
"Andriy Shevchenko",2009,"WOC-Q",6,4,-1
"Andriy Shevchenko",2008,"Friendlies",2,1,1
"Andriy Shevchenko",2008,"Friendlies",1,0,-1
"Andriy Shevchenko",2007,"EUC-Q",5,4,1
"Andriy Shevchenko",2007,"EUC-Q",3,1,-1
"Andriy Shevchenko",2007,"Friendlies",1,0,1
"Andriy Shevchenko",2007,"Friendlies",1,0,-1
"Andriy Shevchenko",2006,"Friendlies",1,1,-1
"Andriy Shevchenko",2005,"Friendlies",1,0,1
"Andriy Shevchenko",2005,"WOC-Q",4,4,1
"Andriy Shevchenko",2005,"WOC-Q",5,2,-1
"Andriy Shevchenko",2004,"Friendlies",2,0,-1
"Andriy Shevchenko",2003,"EUC-Q",2,2,1
"Andriy Shevchenko",2003,"EUC-Q",2,1,-1
"Andriy Shevchenko",2003,"Friendlies",2,0,1
"Andriy Shevchenko",2003,"Friendlies",2,0,-1
"Andriy Shevchenko",2002,"Friendlies",1,0,1
"Andriy Shevchenko",2002,"Friendlies",1,0,-1
"Andriy Shevchenko",2001,"WOC-Q",6,2,1
"Andriy Shevchenko",2001,"WOC-Q",8,6,-1
"Andriy Shevchenko",2000,"Friendlies",2,1,-1
"Andriy Shevchenko",1999,"EUC-Q",6,0,1
"Andriy Shevchenko",1999,"EUC-Q",6,2,-1
"Andriy Shevchenko",1998,"Friendlies",2,1,1
"Andriy Shevchenko",1997,"Friendlies",1,0,1
"Andriy Shevchenko",1997,"WOC-Q",5,3,1
"Andriy Shevchenko",1997,"WOC-Q",3,1,-1
"Andriy Shevchenko",1996,"Friendlies",2,1,-1
"Andriy Shevchenko",1995,"EUC-Q",1,0,1
"Andriy Shevchenko",1995,"EUC-Q",1,0,-1
"Andriy Voronin",2012,"Friendlies",1,1,
"Andriy Voronin",2012,"Friendlies",2,0,-1
"Andriy Voronin",2011,"Friendlies",4,1,1
"Andriy Voronin",2010,"Friendlies",2,0,1
"Andriy Voronin",2010,"Friendlies",1,0,-1
"Andriy Voronin",2009,"EUC-Q",3,0,-1
"Andriy Voronin",2009,"Friendlies",1,0,
"Andriy Voronin",2009,"WOC-Q",3,0,1
"Andriy Voronin",2008,"Friendlies",2,0,1
"Andriy Voronin",2008,"Friendlies",1,0,-1
"Andriy Voronin",2007,"EUC-Q",6,1,1
"Andriy Voronin",2007,"EUC-Q",6,0,-1
"Andriy Voronin",2007,"Friendlies",1,0,1
"Andriy Voronin",2007,"Friendlies",1,0,-1
"Andriy Voronin",2006,"Friendlies",3,1,1
"Andriy Voronin",2006,"Friendlies",1,0,
"Andriy Voronin",2006,"Friendlies",2,1,-1
"Andriy Voronin",2005,"Friendlies",1,0,1
"Andriy Voronin",2005,"WOC-Q",6,1,1
"Andriy Voronin",2005,"WOC-Q",5,0,-1
"Andriy Voronin",2004,"Friendlies",2,0,-1
"Andriy Voronin",2003,"EUC-Q",4,2,1
"Andriy Voronin",2003,"EUC-Q",3,0,-1
"Andriy Voronin",2003,"Friendlies",2,0,1
"Andriy Voronin",2003,"Friendlies",2,0,-1
"Andriy Voronin",2002,"Friendlies",2,0,-1
"Andriy Yarmolenko",2015,"EUC-Q",1,1,1
"Andriy Yarmolenko",2015,"EUC-Q",2,0,-1
"Andriy Yarmolenko",2014,"Friendlies",2,0,1
"Andriy Yarmolenko",2012,"Friendlies",1,0,1
"Andy Carroll",2013,"WOC-Q",1,0,1
"Andy Carroll",2012,"Friendlies",1,0,
"Andy Carroll",2012,"Friendlies",1,0,-1
"Andy Carroll",2011,"EUC-Q",1,0,1
"Andy Carroll",2011,"Friendlies",1,1,1
"Andy Carroll",2010,"Friendlies",1,0,1
"Antonio Cassano",2014,"Friendlies",1,0,
"Antonio Cassano",2012,"Friendlies",1,0,
"Antonio Cassano",2011,"EUC-Q",5,4,1
"Antonio Cassano",2011,"EUC-Q",5,2,-1
"Antonio Cassano",2011,"Friendlies",1,0,1
"Antonio Cassano",2011,"Friendlies",1,0,-1
"Antonio Cassano",2010,"Friendlies",1,0,
"Antonio Cassano",2007,"EUC-Q",1,0,1
"Antonio Cassano",2007,"EUC-Q",1,0,-1
"Antonio Cassano",2005,"WOC-Q",1,0,
"Antonio Cassano",2005,"WOC-Q",1,0,
"Antonio Cassano",2004,"Friendlies",1,0,-1
"Antonio Cassano",2003,"Friendlies",1,0,1
"Antonio Cassano",2003,"Friendlies",1,1,-1
"Antonio Di Natale",2010,"Friendlies",2,0,
"Antonio Di Natale",2010,"Friendlies",1,0,-1
"Antonio Di Natale",2009,"Friendlies",1,0,1
"Antonio Di Natale",2009,"Friendlies",1,0,
"Antonio Di Natale",2009,"WOC-Q",3,0,1
"Antonio Di Natale",2009,"WOC-Q",4,2,-1
"Antonio Di Natale",2008,"Friendlies",2,3,1
"Antonio Di Natale",2008,"Friendlies",1,0,
"Antonio Di Natale",2008,"Friendlies",1,0,-1
"Antonio Di Natale",2007,"EUC-Q",4,0,1
"Antonio Di Natale",2007,"EUC-Q",4,2,-1
"Antonio Di Natale",2007,"Friendlies",1,1,-1
"Antonio Di Natale",2006,"Friendlies",1,1,1
"Antonio Di Natale",2004,"Friendlies",1,1,1
"Antonio Di Natale",2003,"Friendlies",1,0,1
"Antonio Di Natale",2002,"Friendlies",1,0,1
"Arjen Robben",2015,"EUC-Q",2,2,1
"Arjen Robben",2015,"EUC-Q",1,0,-1
"Arjen Robben",2015,"Friendlies",1,2,-1
"Arjen Robben",2014,"Friendlies",3,1,1
"Arjen Robben",2013,"Friendlies",1,0,1
"Arjen Robben",2013,"Friendlies",1,1,
"Arjen Robben",2013,"Friendlies",1,0,-1
"Arjen Robben",2013,"WOC-Q",2,1,1
"Arjen Robben",2013,"WOC-Q",2,2,-1
"Arjen Robben",2012,"Friendlies",2,0,1
"Arjen Robben",2010,"Friendlies",1,2,1
