"Team","Date","Type","Change"
"Kosovo","05/14/16","Creation","Europe"
"Gibraltar","03/24/13","Creation","Europe"
"Montenegro","01/26/07","Creation","Europe"
"Serbia and Montenegro","06/28/06","Name","Serbia"
"Australia","01/11/06","Federation","Asia"
"Yugoslavia","02/14/03","Name","Serbia and Montenegro"
"Andorra","11/13/96","Creation","Europe"
"Bosnia-Herzegovina","11/30/95","Creation","Europe"
"Czechoslovakia","01/01/94","Name","Czech Republic"
"Slovakia","02/23/94","Creation","Europe"
"Moldova","10/13/93","Creation","Europe"
"Azerbaijan","09/17/93","Creation","Europe"
