"Player","Contest","Year","Apps","Goals"
"Fernando Torres","COC-G",2013,2,5
"Fernando Torres","COC-G",2009,3,3
"Lukas Podolski","COC-G",2005,2,1
"Theofanis Gekas","COC-G",2005,2,0
"Fernando Torres","COC-K",2013,2,0
"Fernando Torres","COC-K",2009,2,0
"Lukas Podolski","COC-K",2005,2,2
"Alan Dzagoev","EUC-G",2012,3,3
"Aleksandr Kokorin","EUC-G",2012,1,0
"Alexander Kerzhakov","EUC-G",2012,3,0
"Andrei Arshavin","EUC-G",2012,3,0
"Arjen Robben","EUC-G",2012,3,0
"Cristiano Ronaldo","EUC-G",2012,3,2
"David Lafata","EUC-G",2012,1,0
"Dimitris Salpingidis","EUC-G",2012,3,1
"Dirk Kuyt","EUC-G",2012,2,0
"Fernando Torres","EUC-G",2012,3,2
"Frantisek Rajtoral","EUC-G",2012,1,0
"Georgios Samaras","EUC-G",2012,3,0
"Ibrahim Afellay","EUC-G",2012,2,0
"Jan Rezek","EUC-G",2012,2,0
"Klaas-Jan Huntelaar","EUC-G",2012,3,0
"Konstantinos Fortounis","EUC-G",2012,1,0
"Ludovic Obraniak","EUC-G",2012,2,0
"Lukas Podolski","EUC-G",2012,3,1
"Maciej Rybus","EUC-G",2012,1,0
"Mario Gomez","EUC-G",2012,3,3
"Milan Baros","EUC-G",2012,3,0
"Miroslav Klose","EUC-G",2012,3,0
"Pavel Pogrebnyak","EUC-G",2012,1,0
"Pawel Brozek","EUC-G",2012,2,0
"Petr Jiracek","EUC-G",2012,2,2
"Robert Lewandowski ","EUC-G",2012,3,1
"Robin van Persie","EUC-G",2012,2,1
"Roman Pavlyuchenko","EUC-G",2012,3,1
"Sotiris Ninis","EUC-G",2012,1,0
"Theofanis Gekas","EUC-G",2012,3,1
"Thomas Muller","EUC-G",2012,3,0
"Tomas Pekhart","EUC-G",2012,2,0
"Vaclav Pilar","EUC-G",2012,3,2
"Wesley Sneijder","EUC-G",2012,1,0
"Cristiano Ronaldo","EUC-G",2008,2,1
"Dimitris Salpingidis","EUC-G",2008,1,0
"Dirk Kuyt","EUC-G",2008,3,1
"Fernando Torres","EUC-G",2008,2,1
"Georgios Samaras","EUC-G",2008,1,0
"Klaas-Jan Huntelaar","EUC-G",2008,1,1
"Mario Gomez","EUC-G",2008,3,0
"Milan Baros","EUC-G",2008,1,0
"Miroslav Klose","EUC-G",2008,3,1
"Robin van Persie","EUC-G",2008,1,1
"Roman Pavlyuchenko","EUC-G",2008,3,1
"Theofanis Gekas","EUC-G",2008,2,0
"Wesley Sneijder","EUC-G",2008,2,2
"Alexander Kerzhakov","EUC-G",2004,1,0
"Cristiano Ronaldo","EUC-G",2004,3,1
"Fernando Torres","EUC-G",2004,3,0
"Lukas Podolski","EUC-G",2004,1,0
"Milan Baros","EUC-G",2004,3,3
"Miroslav Klose","EUC-G",2004,2,0
"Cristiano Ronaldo","EUC-K",2012,2,1
"Dimitris Salpingidis","EUC-K",2012,1,1
"Fernando Torres","EUC-K",2012,2,1
"Georgios Samaras","EUC-K",2012,1,1
"Lukas Podolski","EUC-K",2012,1,0
"Mario Gomez","EUC-K",2012,2,0
"Milan Baros","EUC-K",2012,1,0
"Miroslav Klose","EUC-K",2012,2,1
"Petr Jiracek","EUC-K",2012,1,0
"Theofanis Gekas","EUC-K",2012,1,0
"Tomas Pekhart","EUC-K",2012,1,0
"Vaclav Pilar","EUC-K",2012,1,0
"Cristiano Ronaldo","EUC-K",2008,1,0
"Dirk Kuyt","EUC-K",2008,1,0
"Fernando Torres","EUC-K",2008,3,1
"Lukas Podolski","EUC-K",2008,3,0
"Mario Gomez","EUC-K",2008,1,0
"Miroslav Klose","EUC-K",2008,3,1
"Robin van Persie","EUC-K",2008,1,0
"Roman Pavlyuchenko","EUC-K",2008,2,2
"Wesley Sneijder","EUC-K",2008,1,0
"Cristiano Ronaldo","EUC-K",2004,3,1
"Milan Baros","EUC-K",2004,2,2
"Aleksandr Kokorin","EUC-Q",2016,9,3
"Alexander Kerzhakov","EUC-Q",2016,3,0
"Arjen Robben","EUC-Q",2016,4,2
"Cristiano Ronaldo","EUC-Q",2016,6,5
"David Lafata","EUC-Q",2016,7,1
"Dimitris Salpingidis","EUC-Q",2016,2,0
"Dirk Kuyt","EUC-Q",2016,0,0
"Georgios Samaras","EUC-Q",2016,3,0
"Klaas-Jan Huntelaar","EUC-Q",2016,8,5
"Lukas Podolski","EUC-Q",2016,7,0
"Mario Gomez","EUC-Q",2016,0,0
"Robert Lewandowski ","EUC-Q",2016,10,13
"Robin van Persie","EUC-Q",2016,8,3
"Theofanis Gekas","EUC-Q",2016,1,0
"Thomas Muller","EUC-Q",2016,9,9
"Alexander Kerzhakov","EUC-Q",2012,5,2
"Cristiano Ronaldo","EUC-Q",2012,8,7
"David Lafata","EUC-Q",2012,2,0
"Dimitris Salpingidis","EUC-Q",2012,10,1
"Dirk Kuyt","EUC-Q",2012,9,6
"Fernando Torres","EUC-Q",2012,3,2
"Georgios Samaras","EUC-Q",2012,8,1
"Ibrahim Afellay","EUC-Q",2012,6,3
"Klaas-Jan Huntelaar","EUC-Q",2012,8,12
"Lukas Podolski","EUC-Q",2012,9,3
"Mario Gomez","EUC-Q",2012,6,6
"Milan Baros","EUC-Q",2012,7,1
"Miroslav Klose","EUC-Q",2012,6,9
"Pavel Pogrebnyak","EUC-Q",2012,7,2
"Petr Jiracek","EUC-Q",2012,4,1
"Robin van Persie","EUC-Q",2012,6,6
"Roman Pavlyuchenko","EUC-Q",2012,7,4
