"Player","Year","Contest","Apps","Goals Conceded","Home Advantage"
"Igor Akinfeev",2016,"EUC-Q",4,1,1
"Igor Akinfeev",2016,"EUC-Q",5,3,-1
"Igor Akinfeev",2016,"Friendlies",1,2,-1
"Igor Akinfeev",2015,"Friendlies",2,2,1
"Igor Akinfeev",2014,"Friendlies",4,0,1
"Igor Akinfeev",2014,"Friendlies",1,1,-1
"Igor Akinfeev",2014,"WOC-Q",4,1,1
"Igor Akinfeev",2014,"WOC-Q",5,3,-1
"Igor Akinfeev",2013,"Friendlies",2,1,
"Igor Akinfeev",2012,"EUC-Q",2,2,1
"Igor Akinfeev",2012,"EUC-Q",4,2,-1
"Igor Akinfeev",2012,"Friendlies",1,1,1
"Igor Akinfeev",2012,"Friendlies",2,0,
"Igor Akinfeev",2011,"Friendlies",1,0,1
"Igor Akinfeev",2011,"Friendlies",1,1,-1
"Igor Akinfeev",2010,"Friendlies",2,2,1
"Igor Akinfeev",2010,"Friendlies",1,1,-1
"Igor Akinfeev",2010,"WOC-Q",6,3,1
"Igor Akinfeev",2010,"WOC-Q",6,5,-1
"Igor Akinfeev",2009,"Friendlies",1,3,1
"Igor Akinfeev",2008,"EUC-Q",3,1,1
"Igor Akinfeev",2008,"EUC-Q",2,0,-1
"Igor Akinfeev",2008,"Friendlies",2,1,1
"Igor Akinfeev",2008,"Friendlies",1,1,
"Igor Akinfeev",2008,"Friendlies",1,3,-1
"Igor Akinfeev",2007,"Friendlies",1,4,-1
"Igor Akinfeev",2006,"Friendlies",2,1,1
"Igor Akinfeev",2006,"Friendlies",1,0,-1
"Igor Akinfeev",2006,"WOC-Q",5,2,1
"Igor Akinfeev",2006,"WOC-Q",3,2,-1
"Igor Akinfeev",2005,"Friendlies",1,3,-1
