HomeTeam,AwayTeam,Date,Contest,HomeGoals,AwayGoals,HomeAdvantage,Youth
Bolivia,Argentina,03/28/17,WOC-Q-South America,2,0,1,0
Brazil,Paraguay,03/28/17,WOC-Q-South America,3,0,1,0
Chile,Venezuela,03/28/17,WOC-Q-South America,3,1,1,0
Ecuador,Colombia,03/28/17,WOC-Q-South America,0,2,1,0
Honduras,Costa Rica,03/28/17,WOC-Q-South America,1,1,1,0
Panama,United States,03/28/17,WOC-Q-South America,1,1,1,0
Peru,Uruguay,03/28/17,WOC-Q-South America,2,1,1,0
Trinidad and Tobago,Mexico,03/28/17,WOC-Q-South America,0,1,1,0
Armenia,Kazakhstan,03/26/17,WOC-Q-Europe,2,0,1,0
Azerbaijan,Germany,03/26/17,WOC-Q-Europe,1,4,1,0
England,Lithuania,03/26/17,WOC-Q-Europe,2,0,1,0
Malta,Slovakia,03/26/17,WOC-Q-Europe,1,3,1,0
Montenegro,Poland,03/26/17,WOC-Q-Europe,1,2,1,0
Northern Ireland,Norway,03/26/17,WOC-Q-Europe,2,0,1,0
Romania,Denmark,03/26/17,WOC-Q-Europe,0,0,1,0
San Marino,Czech Republic,03/26/17,WOC-Q-Europe,0,6,1,0
Scotland,Slovenia,03/26/17,WOC-Q-Europe,1,0,1,0
Andorra,Faroe Islands,03/25/17,WOC-Q-Europe,0,0,1,0
Belgium,Greece,03/25/17,WOC-Q-Europe,1,1,1,0
Bosnia-Herzegovina,Gibraltar,03/25/17,WOC-Q-Europe,5,0,1,0
Bulgaria,Netherlands,03/25/17,WOC-Q-Europe,2,0,1,0
Cyprus,Estonia,03/25/17,WOC-Q-Europe,0,0,1,0
Luxembourg,France,03/25/17,WOC-Q-Europe,1,3,1,0
Portugal,Hungary,03/25/17,WOC-Q-Europe,3,0,1,0
Sweden,Belarus,03/25/17,WOC-Q-Europe,4,0,1,0
Switzerland,Latvia,03/25/17,WOC-Q-Europe,1,0,1,0
Austria,Moldova,03/24/17,WOC-Q-Europe,2,0,1,0
Croatia,Ukraine,03/24/17,WOC-Q-Europe,1,0,1,0
Georgia,Serbia,03/24/17,WOC-Q-Europe,1,3,1,0
Italy,Albania,03/24/17,WOC-Q-Europe,2,0,1,0
Kosovo,Iceland,03/24/17,WOC-Q-Europe,1,2,1,0
Liechtenstein,Macedonia,03/24/17,WOC-Q-Europe,0,3,1,0
