"Player","Year","Contest","Apps","Goals Conceded","Goals Scored","Home Advantage"
"Aiden McGeady",2015,"EUC-Q",2,1,0,1
"Aiden McGeady",2015,"EUC-Q",6,3,2,-1
"Aiden McGeady",2013,"WOC-Q",2,2,0,1
"Aiden McGeady",2013,"WOC-Q",2,5,0,-1
"Aiden McGeady",2012,"EUC-G-W1",1,3,0,
"Aiden McGeady",2012,"EUC-G-W2",1,4,0,
"Aiden McGeady",2012,"EUC-G-W3",1,1,0,
"Aiden McGeady",2011,"EUC-Q",6,7,1,1
"Aiden McGeady",2011,"EUC-Q",6,1,1,-1
"Aiden McGeady",2009,"WOC-Q",5,3,0,1
"Aiden McGeady",2009,"WOC-Q",5,1,0,-1
"Aiden McGeady",2007,"EUC-Q",1,0,0,1
"Aiden McGeady",2007,"EUC-Q",5,8,0,-1
"Alan Dzagoev",2015,"EUC-Q",4,0,0,1
"Alan Dzagoev",2015,"EUC-Q",4,0,1,-1
"Alan Dzagoev",2014,"WOC-G-W1",1,1,0,
"Alan Dzagoev",2014,"WOC-G-W2",1,0,0,
"Alan Dzagoev",2014,"WOC-G-W3",1,1,0,
"Alan Dzagoev",2013,"WOC-Q",1,1,0,1
"Alan Dzagoev",2013,"WOC-Q",1,1,0,-1
"Alan Dzagoev",2012,"EUC-G-W1",1,1,2,
"Alan Dzagoev",2011,"EUC-Q",3,1,2,1
"Alan Dzagoev",2011,"EUC-Q",5,2,2,-1
"Alan Dzagoev",2009,"WOC-Q",2,0,0,1
"Alan Dzagoev",2009,"WOC-Q",2,3,0,-1
"Aleksandr Anyukov",2007,"EUC-Q",1,0,0,1
"Aleksandr Anyukov",2005,"WOC-Q",1,0,0,1
"Aleksandr Kokorin",2015,"EUC-Q",2,0,1,1
"Aleksandr Kokorin",2015,"EUC-Q",3,2,2,-1
"Aleksandr Kokorin",2013,"WOC-Q",1,0,0,1
"Aleksandr Kokorin",2013,"WOC-Q",2,1,0,-1
"Aleksandr Kokorin",2012,"EUC-G-W1",1,0,0,
"Alexander Kerzhakov",2014,"WOC-G-W1",1,0,1,
"Alexander Kerzhakov",2014,"WOC-G-W2",1,0,0,
"Alexander Kerzhakov",2007,"EUC-Q",1,1,0,1
"Alexander Kerzhakov",2003,"EUC-Q",1,0,0,-1
"Alexander Kerzhakov",2002,"WOC-G-W3",1,0,0,
"Anatoliy Tymoshchuk",2015,"EUC-Q",1,0,0,1
"Anatoliy Tymoshchuk",2015,"EUC-Q",3,1,0,-1
"Anatoliy Tymoshchuk",2013,"WOC-Q",3,2,0,1
"Anatoliy Tymoshchuk",2013,"WOC-Q",4,1,0,-1
"Anatoliy Tymoshchuk",2012,"EUC-G-W1",1,1,0,1
"Anatoliy Tymoshchuk",2012,"EUC-G-W2",1,2,0,1
"Anatoliy Tymoshchuk",2012,"EUC-G-W3",1,1,0,1
"Anatoliy Tymoshchuk",2009,"WOC-Q",6,2,0,1
"Anatoliy Tymoshchuk",2009,"WOC-Q",5,5,0,-1
"Anatoliy Tymoshchuk",2007,"EUC-Q",6,6,0,1
"Anatoliy Tymoshchuk",2007,"EUC-Q",6,10,0,-1
"Anatoliy Tymoshchuk",2006,"WOC-G-W1",1,4,0,
"Anatoliy Tymoshchuk",2006,"WOC-G-W2",1,0,0,
"Anatoliy Tymoshchuk",2006,"WOC-G-W3",1,0,0,
"Anatoliy Tymoshchuk",2006,"WOC-K-W1",1,0,0,
"Anatoliy Tymoshchuk",2006,"WOC-K-W2",1,3,0,
"Anatoliy Tymoshchuk",2005,"WOC-Q",6,4,0,1
"Anatoliy Tymoshchuk",2005,"WOC-Q",5,3,0,-1
"Anatoliy Tymoshchuk",2003,"EUC-Q",3,2,0,1
"Anatoliy Tymoshchuk",2003,"EUC-Q",4,5,0,-1
"Anatoliy Tymoshchuk",2001,"WOC-Q",5,3,0,1
"Anatoliy Tymoshchuk",2001,"WOC-Q",5,7,0,-1
"Anders Svensson",2013,"WOC-Q",5,6,0,1
"Anders Svensson",2013,"WOC-Q",4,2,1,-1
"Anders Svensson",2012,"EUC-G-W1",1,0,0,-1
"Anders Svensson",2012,"EUC-G-W2",1,3,0,
"Anders Svensson",2012,"EUC-G-W3",1,0,0,
"Anders Svensson",2011,"EUC-Q",3,2,0,1
"Anders Svensson",2011,"EUC-Q",5,7,0,-1
"Anders Svensson",2009,"WOC-Q",2,1,1,1
"Anders Svensson",2009,"WOC-Q",4,2,0,-1
"Anders Svensson",2008,"EUC-G-W1",1,0,0,
"Anders Svensson",2008,"EUC-G-W2",1,2,0,
"Anders Svensson",2008,"EUC-G-W3",1,2,0,
"Anders Svensson",2007,"EUC-Q",6,2,1,1
"Anders Svensson",2007,"EUC-Q",5,4,1,-1
"Anders Svensson",2006,"WOC-G-W1",1,0,0,
"Anders Svensson",2005,"WOC-Q",4,2,2,1
"Anders Svensson",2005,"WOC-Q",4,2,0,-1
"Anders Svensson",2004,"EUC-K-W1",1,0,0,
"Anders Svensson",2004,"EUC-G-W2",1,1,0,
"Anders Svensson",2004,"EUC-G-W1",1,0,0,
"Anders Svensson",2003,"EUC-Q",4,3,2,1
"Anders Svensson",2003,"EUC-Q",3,1,0,-1
"Anders Svensson",2002,"WOC-K-W1",1,2,0,
"Anders Svensson",2002,"WOC-G-W3",1,0,1,
"Anders Svensson",2002,"WOC-G-W2",1,1,0,
"Anders Svensson",2002,"WOC-G-W1",1,0,0,
"Anders Svensson",2001,"WOC-Q",4,2,0,1
"Anders Svensson",2001,"WOC-Q",5,1,1,-1
"Andre Schurrle",2015,"EUC-Q",1,1,0,1
"Andre Schurrle",2015,"EUC-Q",2,1,0,-1
"Andre Schurrle",2014,"WOC-K-W4",1,0,0,
"Andre Schurrle",2014,"WOC-K-W2",1,0,0,
"Andre Schurrle",2014,"WOC-K-W1",1,1,1,
"Andre Schurrle",2014,"WOC-G-W3",1,0,0,
