"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeAdvantage","HomeAttack","HomeDefense","AwayAttack","AwayDefense","HomeAttackNext","HomeDefenseNext","AwayAttackNext","AwayDefenseNext"
"Croatia","Portugal","2016/06/25","EUC-K",0,1,0,0.578,-0.3177,0.484,-0.1531,0.4991,-0.3079,0.4935,-0.2345
"Switzerland","Poland","2016/06/25","EUC-K",0,0,0,0.2218,-0.3777,0.5922,-0.4116,0.1587,-0.4523,0.5167,-0.4739
"Wales","Northern Ireland","2016/06/25","EUC-K",1,0,0,0.4252,-0.1463,0.0645,-0.1665,0.4255,-0.213,-0.0023,-0.1661
"Hungary","Portugal","2016/06/22","EUC-G",3,3,0,0.4011,-0.126,0.3564,-0.3214,0.5543,0.0145,0.484,-0.1531
"Iceland","Austria","2016/06/22","EUC-G",2,1,0,0.3987,-0.0867,0.0825,-0.2021,0.4979,-0.0516,0.1177,-0.1032
"Italy","Republic of Ireland","2016/06/22","EUC-G",0,1,0,0.5573,-0.516,0.0988,-0.0652,0.4243,-0.4331,0.187,-0.1892
"Sweden","Belgium","2016/06/22","EUC-G",0,1,0,0.3888,-0.0598,0.4758,-0.1639,0.3045,-0.0765,0.4606,-0.2565
"Croatia","Spain","2016/06/21","EUC-G",2,1,0,0.3908,-0.3049,0.6819,-0.8026,0.578,-0.3177,0.669,-0.6167
"Czech Republic","Turkey","2016/06/21","EUC-G",0,2,0,0.4928,0.17,-0.0394,0.0255,0.3576,0.2643,0.0529,-0.1131
"Northern Ireland","Germany","2016/06/21","EUC-G",0,1,0,0.1354,-0.1395,0.6682,-0.4597,0.0645,-0.1665,0.6405,-0.5287
"Ukraine","Poland","2016/06/21","EUC-G",0,1,0,-0.0651,-0.0541,0.6206,-0.3461,-0.1254,-0.0849,0.5922,-0.4116
"Russia","Wales","2016/06/20","EUC-G",0,3,0,0.447,-0.142,0.2726,-0.0113,0.3148,0.0134,0.4252,-0.1463
"Slovakia","England","2016/06/20","EUC-G",0,0,0,0.3706,0.2125,0.7187,-0.291,0.2557,0.0605,0.5634,-0.4034
"France","Switzerland","2016/06/19","EUC-G",0,0,1,0.7696,-0.2265,0.3836,-0.2383,0.5804,-0.3462,0.2218,-0.3777
"Romania","Albania","2016/06/19","EUC-G",0,1,0,0.2909,-0.1274,-0.2874,-0.0927,0.1986,-0.0155,-0.1801,-0.1895
"Belgium","Republic of Ireland","2016/06/18","EUC-G",3,0,0,0.2426,-0.0205,0.2614,-0.2752,0.4758,-0.1639,0.0988,-0.0652
"Iceland","Hungary","2016/06/18","EUC-G",1,1,0,0.4009,-0.0772,0.4117,-0.124,0.3987,-0.0867,0.4011,-0.126
"Portugal","Austria","2016/06/18","EUC-G",0,0,0,0.4901,-0.2104,0.1975,-0.073,0.3564,-0.3214,0.0825,-0.2021
"Czech Republic","Croatia","2016/06/17","EUC-G",2,2,0,0.3157,0.1068,0.3282,-0.4837,0.4928,0.17,0.3908,-0.3049
"Italy","Sweden","2016/06/17","EUC-G",1,0,0,0.5968,-0.4146,0.4996,-0.0235,0.5573,-0.516,0.3888,-0.0598
"Spain","Turkey","2016/06/17","EUC-G",3,0,0,0.5584,-0.734,0.0271,-0.1016,0.6819,-0.8026,-0.0394,0.0255
"England","Wales","2016/06/16","EUC-G",2,1,0,0.6892,-0.3712,0.1946,-0.0417,0.7187,-0.291,0.2726,-0.0113
"Germany","Poland","2016/06/16","EUC-G",0,0,0,0.8545,-0.2798,0.7967,-0.1557,0.6682,-0.4597,0.6206,-0.3461
"Ukraine","Northern Ireland","2016/06/16","EUC-G",0,2,0,0.0678,-0.2751,-0.0635,0.0112,-0.0651,-0.0541,0.1354,-0.1395
"France","Albania","2016/06/15","EUC-G",2,0,1,0.7023,-0.1239,-0.142,-0.1417,0.7696,-0.2265,-0.2874,-0.0927
"Romania","Switzerland","2016/06/15","EUC-G",1,1,0,0.2353,-0.1288,0.3823,-0.294,0.2909,-0.1274,0.3836,-0.2383
"Russia","Slovakia","2016/06/15","EUC-G",1,2,0,0.5196,-0.31,0.2063,0.2869,0.447,-0.142,0.3706,0.2125
"Austria","Hungary","2016/06/14","EUC-G",0,2,0,0.4745,-0.2721,0.186,0.1123,0.1975,-0.073,0.4117,-0.124
"Portugal","Iceland","2016/06/14","EUC-G",1,1,0,0.5412,-0.2408,0.3692,-0.0282,0.4901,-0.2104,0.4009,-0.0772
"Belgium","Italy","2016/06/13","EUC-G",0,2,0,0.4141,-0.1497,0.4617,-0.2517,0.2426,-0.0205,0.5968,-0.4146
"Republic of Ireland","Sweden","2016/06/13","EUC-G",1,1,0,0.2543,-0.2862,0.4885,-0.0306,0.2614,-0.2752,0.4996,-0.0235
"Spain","Czech Republic","2016/06/13","EUC-G",1,0,0,0.655,-0.5887,0.4609,0.2034,0.5584,-0.734,0.3157,0.1068
"Germany","Ukraine","2016/06/12","EUC-G",2,0,0,0.7377,-0.1385,0.2278,-0.3798,0.8545,-0.2798,0.0678,-0.2751
"Poland","Northern Ireland","2016/06/12","EUC-G",1,0,0,0.9545,0.0872,0.1741,0.1723,0.7967,-0.1557,-0.0635,0.0112
"Turkey","Croatia","2016/06/12","EUC-G",0,1,0,0.1756,-0.115,0.3145,-0.3396,0.0271,-0.1016,0.3282,-0.4837
"Albania","Switzerland","2016/06/11","EUC-G",0,1,0,0.0264,-0.1504,0.3728,-0.1404,-0.142,-0.1417,0.3823,-0.294
"England","Russia","2016/06/11","EUC-G",1,1,0,0.7253,-0.4174,0.4734,-0.2737,0.6892,-0.3712,0.5196,-0.31
