"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeAdvantage","HomeAttack","HomeDefense","AwayAttack","AwayDefense","HomeAttackNext","HomeDefenseNext","AwayAttackNext","AwayDefenseNext"
"Belgium","Republic of Ireland","2016-06-18","EUC-G",3,0,0,0.244,-0.0528,0.2826,-0.3252,0.4743,-0.1769,0.1738,-0.1192
"Iceland","Hungary","2016-06-18","EUC-G",1,1,0,0.4293,-0.2175,0.4052,-0.1501,0.4405,-0.1923,0.4265,-0.1407
"Portugal","Austria","2016-06-18","EUC-G",0,0,0,0.5691,-0.1862,0.3379,-0.0378,0.4,-0.3175,0.2149,-0.196
"Czech Republic","Croatia","2016-06-17","EUC-G",2,2,0,0.3672,0.1708,0.422,-0.359,0.5166,0.216,0.4664,-0.2119
"Italy","Sweden","2016-06-17","EUC-G",1,0,0,0.5935,-0.3349,0.4968,0.1338,0.5438,-0.4554,0.3942,0.0913
"Spain","Turkey","2016-06-17","EUC-G",3,0,0,0.45,-0.6724,0.13,-0.2151,0.6193,-0.7144,0.0869,-0.0417
"England","Wales","2016-06-16","EUC-G",2,1,0,0.6885,-0.2635,0.1273,-0.1777,0.746,-0.1868,0.2056,-0.119
"Germany","Poland","2016-06-16","EUC-G",0,0,0,0.896,-0.3212,0.6769,-0.1636,0.7307,-0.4562,0.5348,-0.3378
"Ukraine","Northern Ireland","2016-06-16","EUC-G",0,2,0,0.0098,-0.3023,0.1054,0.0157,-0.0812,-0.1403,0.2959,-0.0939
"France","Albania","2016-06-15","EUC-G",2,0,1,0.9305,-0.094,-0.1639,-0.2086,0.9359,-0.2236,-0.2469,-0.2051
"Romania","Switzerland","2016-06-15","EUC-G",1,1,0,0.1613,-0.341,0.5022,-0.1495,0.2145,-0.3117,0.5306,-0.0978
"Russia","Slovakia","2016-06-15","EUC-G",1,2,0,0.4329,-0.2808,0.2066,0.2338,0.3909,-0.1189,0.3717,0.1908
"Austria","Hungary","2016-06-14","EUC-G",0,2,0,0.5738,-0.2423,0.2401,0.0316,0.3379,-0.0378,0.4052,-0.1501
"Portugal","Iceland","2016-06-14","EUC-G",1,1,0,0.5678,-0.2314,0.3877,-0.2187,0.5691,-0.1862,0.4293,-0.2175
"Belgium","Italy","2016-06-13","EUC-G",0,2,0,0.4209,-0.1758,0.4663,-0.1511,0.244,-0.0528,0.5935,-0.3349
"Republic of Ireland","Sweden","2016-06-13","EUC-G",1,1,0,0.2967,-0.3711,0.451,0.1479,0.2826,-0.3252,0.4968,0.1338
"Spain","Czech Republic","2016-06-13","EUC-G",1,0,0,0.5278,-0.5278,0.5169,0.2513,0.45,-0.6724,0.3672,0.1708
"Germany","Ukraine","2016-06-12","EUC-G",2,0,0,0.8011,-0.191,0.1179,-0.3825,0.896,-0.3212,0.0098,-0.3023
"Poland","Northern Ireland","2016-06-12","EUC-G",1,0,0,0.7771,0.0372,0.3062,0.1159,0.6769,-0.1636,0.1054,0.0157
"Turkey","Croatia","2016-06-12","EUC-G",0,1,0,0.296,-0.268,0.3704,-0.1979,0.13,-0.2151,0.422,-0.359
"Albania","Switzerland","2016-06-11","EUC-G",0,1,0,5e-04,-0.2321,0.4815,-0.0058,-0.1639,-0.2086,0.5022,-0.1495
"England","Russia","2016-06-11","EUC-G",1,1,0,0.7051,-0.3279,0.3686,-0.2642,0.6885,-0.2635,0.4329,-0.2808
"Wales","Slovakia","2016-06-11","EUC-G",2,1,0,-0.0988,-0.3047,0.0797,0.0079,0.1273,-0.1777,0.2066,0.2338
"France","Romania","2016-06-10","EUC-G",2,1,1,0.7314,-0.4892,-0.0405,-0.4378,0.9305,-0.094,0.1613,-0.341
"Denmark","Sweden","2015-11-17","EUC-Q",2,2,1,0.0114,-0.3195,0.3729,0.1075,0.0604,-0.2251,0.451,0.1479
"Slovenia","Ukraine","2015-11-17","EUC-Q",1,1,1,0.2291,0.1429,0.1096,-0.4059,0.2526,0.1511,0.1179,-0.3825
"Republic of Ireland","Bosnia-Herzegovina","2015-11-16","EUC-Q",2,0,1,0.2826,-0.3064,0.4704,0.1281,0.2967,-0.3711,0.4078,0.1418
"Hungary","Norway","2015-11-15","EUC-Q",2,1,1,0.1889,0.0106,0.0908,-0.1823,0.2401,0.0316,0.1118,-0.1312
"Sweden","Denmark","2015-11-14","EUC-Q",2,1,1,0.299,0.0779,-0.0261,-0.4124,0.3729,0.1075,0.0114,-0.3195
"Ukraine","Slovenia","2015-11-14","EUC-Q",2,0,1,0.0681,-0.3432,0.2919,0.1013,0.1096,-0.4059,0.2291,0.1429
"Bosnia-Herzegovina","Republic of Ireland","2015-11-13","EUC-Q",1,1,1,0.4767,0.1341,0.2888,-0.2998,0.4704,0.1281,0.2826,-0.3064
"Norway","Hungary","2015-11-12","EUC-Q",0,1,1,0.1724,-0.2258,0.1453,0.0923,0.0908,-0.1823,0.1889,0.0106
"Belgium","Israel","2015-10-13","EUC-Q",3,1,1,0.4033,-0.2237,0.0728,0.3063,0.4209,-0.1758,0.1242,0.3251
"Bulgaria","Azerbaijan","2015-10-13","EUC-Q",2,0,1,-0.1365,0.1967,-0.1076,0.2042,-0.0816,0.1219,-0.1824,0.2591
"Cyprus","Bosnia-Herzegovina","2015-10-13","EUC-Q",2,3,1,-0.049,0.2922,0.4245,0.0772,0.0105,0.3468,0.4767,0.1341
"Italy","Norway","2015-10-13","EUC-Q",2,1,1,0.4239,-0.1922,0.1288,-0.2709,0.4663,-0.1511,0.1724,-0.2258
"Latvia","Kazakhstan","2015-10-13","EUC-Q",0,1,1,0.0429,0.2044,-0.1422,0.1766,-0.0399,0.2341,-0.1124,0.0937
"Malta","Croatia","2015-10-13","EUC-Q",0,1,1,-0.4335,0.4856,0.4151,-0.1768,-0.4556,0.4388,0.3704,-0.1979
"Netherlands","Czech Republic","2015-10-13","EUC-Q",2,3,1,0.5495,-0.0648,0.4166,0.273,0.53,0.0257,0.5169,0.2513
"Turkey","Iceland","2015-10-13","EUC-Q",1,0,1,0.2928,-0.1807,0.4751,-0.2219,0.296,-0.268,0.3877,-0.2187
"Wales","Andorra","2015-10-13","EUC-Q",2,0,1,-0.07,-0.3084,-0.5832,0.9752,-0.0988,-0.3047,-0.5795,0.9464
"Austria","Liechtenstein","2015-10-12","EUC-Q",3,0,1,0.6135,-0.2469,-0.6541,0.752,0.5738,-0.2423,-0.6495,0.7122
"Belarus","Macedonia","2015-10-12","EUC-Q",0,0,1,0.1217,0.2019,-0.2458,0.4827,0.0173,0.136,-0.3112,0.379
"Estonia","Switzerland","2015-10-12","EUC-Q",0,1,1,-0.4911,-0.0229,0.4914,0.0263,-0.5252,-0.0334,0.4815,-0.0058
"Lithuania","England","2015-10-12","EUC-Q",0,3,1,-0.3156,0.3776,0.6897,-0.308,-0.3365,0.3937,0.7051,-0.3279
"Luxembourg","Slovakia","2015-10-12","EUC-Q",2,4,1,-0.4158,0.5441,-0.0335,-0.1265,-0.2814,0.6572,0.0797,0.0079
"Russia","Montenegro","2015-10-12","EUC-Q",2,0,1,0.3667,-0.2022,0.1546,0.1963,0.3686,-0.2642,0.0894,0.1983
"San Marino","Slovenia","2015-10-12","EUC-Q",0,2,1,-0.6996,1.0891,0.3381,0.1265,-0.7248,1.043,0.2919,0.1013
"Sweden","Moldova","2015-10-12","EUC-Q",2,0,1,0.3147,0.1348,-0.2987,0.4404,0.299,0.0779,-0.3559,0.4247
"Ukraine","Spain","2015-10-12","EUC-Q",0,1,1,0.1089,-0.3642,0.5079,-0.4891,0.0681,-0.3432,0.5278,-0.5278
"Armenia","Albania","2015-10-11","EUC-Q",0,3,1,0.0478,0.1908,-0.1668,-0.1618,-0.0298,0.3733,5e-04,-0.2321
