HomeTeam,AwayTeam,Date,Contest,HomeGoals,AwayGoals,HomeAdvantage,HomeAttack,HomeDefense,AwayAttack,AwayDefense,HomeAttackNext,HomeDefenseNext,AwayAttackNext,AwayDefenseNext
"Hungary","Portugal","2016/06/22","EUC-G",3,3,0,0.1393,0.0393,0.1592,-0.1051,0.1867,0.0747,0.2008,-0.0495
"Iceland","Austria","2016/06/22","EUC-G",2,1,0,0.1745,0.0571,0.077,-0.0917,0.2119,0.0715,0.0913,-0.0546
"Italy","Republic of Ireland","2016/06/22","EUC-G",0,1,0,0.2708,-0.1581,0.0405,0.05,0.2189,-0.129,0.0684,0.0005
"Sweden","Belgium","2016/06/22","EUC-G",0,1,0,0.212,0.0841,0.1584,-0.0328,0.1669,0.0899,0.1646,-0.0806
"Croatia","Spain","2016/06/21","EUC-G",2,1,0,0.1914,-0.0851,0.3649,-0.4275,0.2518,-0.0809,0.3689,-0.3692
"Czech Republic","Turkey","2016/06/21","EUC-G",0,2,0,0.1756,0.1837,-0.022,0.0206,0.1232,0.2139,0.0087,-0.0327
"Northern Ireland","Germany","2016/06/21","EUC-G",0,1,0,-0.0005,0.1408,0.3902,-0.1593,-0.0392,0.1297,0.3808,-0.1922
"Ukraine","Poland","2016/06/21","EUC-G",0,1,0,-0.1113,-0.1022,0.2186,0.0442,-0.1486,-0.0886,0.2344,0.0008
"Russia","Wales","2016/06/20","EUC-G",0,3,0,0.1424,-0.0097,-0.0444,0.0583,0.0917,0.0489,0.018,0.004
"Slovakia","England","2016/06/20","EUC-G",0,0,0,0.0853,0.198,0.3661,-0.1334,0.0418,0.1314,0.3031,-0.1745
"France","Switzerland","2016/06/19","EUC-G",0,0,1,0.3449,-0.1464,0.1926,-0.053,0.2376,-0.2351,0.148,-0.1067
"Romania","Albania","2016/06/19","EUC-G",0,1,0,0.0454,-0.1161,-0.2357,0.0645,-0.0048,-0.0644,-0.1794,0.0094
"Belgium","Republic of Ireland","2016/06/18","EUC-G",3,0,0,0.1106,0.0179,0.0877,0.0053,0.1584,-0.0328,0.0405,0.05
"Iceland","Hungary","2016/06/18","EUC-G",1,1,0,0.1627,0.0437,0.128,0.0294,0.1745,0.0571,0.1393,0.0393
"Portugal","Austria","2016/06/18","EUC-G",0,0,0,0.2219,-0.0474,0.1331,-0.0308,0.1592,-0.1051,0.077,-0.0917
"Czech Republic","Croatia","2016/06/17","EUC-G",2,2,0,0.1272,0.1638,0.1722,-0.1317,0.1756,0.1837,0.1914,-0.0851
"Italy","Sweden","2016/06/17","EUC-G",1,0,0,0.2712,-0.1066,0.261,0.0844,0.2708,-0.1581,0.212,0.0841
"Spain","Turkey","2016/06/17","EUC-G",3,0,0,0.3334,-0.3997,0.0089,-0.0142,0.3649,-0.4275,-0.022,0.0206
"England","Wales","2016/06/16","EUC-G",2,1,0,0.3513,-0.1815,-0.0961,0.0423,0.3661,-0.1334,-0.0444,0.0583
"Germany","Poland","2016/06/16","EUC-G",0,0,0,0.4536,-0.1097,0.2794,0.122,0.3902,-0.1593,0.2186,0.0442
"Ukraine","Northern Ireland","2016/06/16","EUC-G",0,2,0,-0.0615,-0.1643,-0.0726,0.1991,-0.1113,-0.1022,-0.0005,0.1408
"France","Albania","2016/06/15","EUC-G",2,0,1,0.3182,-0.0647,-0.1929,0.0501,0.3449,-0.1464,-0.2357,0.0645
"Romania","Switzerland","2016/06/15","EUC-G",1,1,0,0.0126,-0.1406,0.1698,-0.0836,0.0454,-0.1161,0.1926,-0.053
"Russia","Slovakia","2016/06/15","EUC-G",1,2,0,0.1417,-0.0578,0.0341,0.1973,0.1424,-0.0097,0.0853,0.198
"Austria","Hungary","2016/06/14","EUC-G",0,2,0,0.2093,-0.0885,0.0797,0.0924,0.1331,-0.0308,0.128,0.0294
"Portugal","Iceland","2016/06/14","EUC-G",1,1,0,0.2131,-0.0732,0.1373,0.0351,0.2219,-0.0474,0.1627,0.0437
"Belgium","Italy","2016/06/13","EUC-G",0,2,0,0.1686,-0.0114,0.2425,-0.0498,0.1106,0.0179,0.2712,-0.1066
"Republic of Ireland","Sweden","2016/06/13","EUC-G",1,1,0,0.0733,-0.0012,0.2544,0.0701,0.0877,0.0053,0.261,0.0844
"Spain","Czech Republic","2016/06/13","EUC-G",1,0,0,0.3455,-0.3562,0.1751,0.1772,0.3334,-0.3997,0.1272,0.1638
"Germany","Ukraine","2016/06/12","EUC-G",2,0,0,0.4267,-0.0649,-0.0153,-0.1921,0.4536,-0.1097,-0.0615,-0.1643
"Poland","Northern Ireland","2016/06/12","EUC-G",1,0,0,0.292,0.1939,-0.0022,0.2113,0.2794,0.122,-0.0726,0.1991
"Turkey","Croatia","2016/06/12","EUC-G",0,1,0,0.0678,-0.0339,0.1539,-0.0767,0.0089,-0.0142,0.1722,-0.1317
"Albania","Switzerland","2016/06/11","EUC-G",0,1,0,-0.1364,0.035,0.1576,-0.0379,-0.1929,0.0501,0.1698,-0.0836
"England","Russia","2016/06/11","EUC-G",1,1,0,0.3462,-0.2209,0.1024,-0.0629,0.3513,-0.1815,0.1417,-0.0578
"Wales","Slovakia","2016/06/11","EUC-G",2,1,0,-0.1549,0.0128,0.005,0.1394,-0.0961,0.0423,0.0341,0.1973
