"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeAdvantage","HomeWin","Tie","AwayWin","MSE"
"France","Portugal","07/10/16","EUC-K",0,1,1,0.4883,0.2597,0.2519,0.8655
"France","Germany","07/07/16","EUC-K",2,0,1,0.3735,0.2727,0.3533,0.5917
"Portugal","Wales","07/06/16","EUC-K",2,0,0,0.3723,0.2987,0.3287,0.5913
"France","Iceland","07/03/16","EUC-K",5,2,1,0.4662,0.2642,0.2692,0.4272
"Germany","Italy","07/02/16","EUC-K",1,1,0,0.3987,0.299,0.3019,0.7415
"Wales","Belgium","07/01/16","EUC-K",3,1,0,0.2938,0.3122,0.3936,0.7511
"Poland","Portugal","06/30/16","EUC-K",1,1,0,0.3557,0.2922,0.352,0.7514
"England","Iceland","06/27/16","EUC-K",1,2,0,0.4056,0.2856,0.3089,0.7237
"Italy","Spain","06/27/16","EUC-K",2,0,0,0.2595,0.309,0.4312,0.8298
"France","Republic of Ireland","06/26/16","EUC-K",2,1,1,0.4945,0.2809,0.2247,0.3849
"Germany","Slovakia","06/26/16","EUC-K",3,0,0,0.5334,0.2705,0.196,0.3293
"Hungary","Belgium","06/26/16","EUC-K",0,4,0,0.3375,0.2933,0.3694,0.5976
"Croatia","Portugal","06/25/16","EUC-K",0,1,0,0.3766,0.2879,0.3353,0.6665
"Switzerland","Poland","06/25/16","EUC-K",1,1,0,0.3197,0.3009,0.3793,0.7348
"Wales","Northern Ireland","06/25/16","EUC-K",1,0,0,0.3913,0.3109,0.2971,0.5554
"Hungary","Portugal","06/22/16","EUC-G",3,3,0,0.3153,0.2967,0.3876,0.7443
"Iceland","Austria","06/22/16","EUC-G",2,1,0,0.3479,0.3063,0.3455,0.6384
"Italy","Republic of Ireland","06/22/16","EUC-G",0,1,0,0.4673,0.2901,0.2424,0.8765
"Sweden","Belgium","06/22/16","EUC-G",0,1,0,0.323,0.2809,0.3956,0.5485
"Croatia","Spain","06/21/16","EUC-G",2,1,0,0.2066,0.2964,0.4965,0.9638
"Czech Republic","Turkey","06/21/16","EUC-G",0,2,0,0.3551,0.2824,0.362,0.6129
"Northern Ireland","Germany","06/21/16","EUC-G",0,1,0,0.1964,0.26,0.5432,0.3148
"Ukraine","Poland","06/21/16","EUC-G",0,1,0,0.257,0.3123,0.4305,0.4879
"Russia","Wales","06/20/16","EUC-G",0,3,0,0.404,0.3044,0.2912,0.7583
"Slovakia","England","06/20/16","EUC-G",0,0,0,0.1915,0.2431,0.5653,0.9291
"France","Switzerland","06/19/16","EUC-G",0,0,1,0.4975,0.2577,0.2446,0.8583
"Romania","Albania","06/19/16","EUC-G",0,1,0,0.4496,0.3366,0.2132,0.9345
"Belgium","Republic of Ireland","06/18/16","EUC-G",3,0,0,0.2956,0.2983,0.4058,0.7498
"Iceland","Hungary","06/18/16","EUC-G",1,1,0,0.3623,0.2922,0.3452,0.7514
"Portugal","Austria","06/18/16","EUC-G",0,0,0,0.4003,0.2862,0.3135,0.768
"Czech Republic","Croatia","06/17/16","EUC-G",2,2,0,0.2348,0.2674,0.4976,0.8394
"Italy","Sweden","06/17/16","EUC-G",1,0,0,0.4532,0.2636,0.2829,0.4485
"Spain","Turkey","06/17/16","EUC-G",3,0,0,0.5117,0.3027,0.1856,0.3645
"England","Wales","06/16/16","EUC-G",2,1,0,0.5122,0.2815,0.2061,0.3597
"Germany","Poland","06/16/16","EUC-G",0,0,0,0.4571,0.2565,0.2863,0.8437
"Ukraine","Northern Ireland","06/16/16","EUC-G",0,2,0,0.4021,0.3237,0.2741,0.7934
"France","Albania","06/15/16","EUC-G",2,0,1,0.5983,0.2427,0.1589,0.2455
"Romania","Switzerland","06/15/16","EUC-G",1,1,0,0.3234,0.3176,0.3588,0.699
"Russia","Slovakia","06/15/16","EUC-G",1,2,0,0.4864,0.2729,0.2401,0.8885
"Austria","Hungary","06/14/16","EUC-G",0,2,0,0.4565,0.2842,0.2591,0.8381
"Portugal","Iceland","06/14/16","EUC-G",1,1,0,0.3953,0.2917,0.3126,0.7557
"Belgium","Italy","06/13/16","EUC-G",0,2,0,0.3305,0.2892,0.3802,0.577
"Republic of Ireland","Sweden","06/13/16","EUC-G",1,1,0,0.3415,0.2837,0.3742,0.7697
"Spain","Czech Republic","06/13/16","EUC-G",1,0,0,0.5738,0.2511,0.1747,0.2752
"Germany","Ukraine","06/12/16","EUC-G",2,0,0,0.4348,0.2982,0.2666,0.4794
"Poland","Northern Ireland","06/12/16","EUC-G",1,0,0,0.4767,0.254,0.2689,0.4107
"Turkey","Croatia","06/12/16","EUC-G",0,1,0,0.3128,0.3046,0.3822,0.5723
"Albania","Switzerland","06/11/16","EUC-G",0,1,0,0.2585,0.3047,0.4366,0.4771
"England","Russia","06/11/16","EUC-G",1,1,0,0.4649,0.2909,0.244,0.7785
"Wales","Slovakia","06/11/16","EUC-G",2,1,0,0.34,0.3195,0.3402,0.6534
"France","Romania","06/10/16","EUC-G",2,1,1,0.4298,0.3237,0.246,0.4904
