Team,Date,Type,Change
South Sudan,2012-07-10,Creation,Asia
Saint Pierre and Miquelon,2010-09-22,Creation,North America
Saint Barthelemy,2010-07-03,Creation,North America
Montenegro,2007-01-26,Creation,Europe
Serbia and Montenegro,2006-06-28,Name,Serbia
Australia,2006-01-11,Federation,Asia
Mayotte,2003-08-16,Creation,Africa
East Timor,2003-03-21,Creation,Africa
Yugoslavia,2003-02-12,Name,Serbia and Montenegro
Vatican,2002-11-13,Creation,Europe
Monaco,2001-07-14,Creation,Europe
Federated States of Micronesia,1999-06-01,Creation,Oceania
Turks and Caicos,1999-02-24,Creation,North America
Northern Mariana Islands,1998-07-30,Creation,Oceania
US Virgin Islands,1998-03-22,Creation,North America
Zaire,1997-06-08,Name,Democratic Republic of Congo
Andorra,1996-11-13,Creation,Europe
Khmer Republic,1995-12-06,Name,Cambodia
Czechoslovakia,1994-02-23,Name,Czechia
Bosnia and Herzegovina,1993-09-12,Creation,Europe
Gibraltar,1993-07-06,Creation,Europe
Kosovo,1993-02-14,Creation,Europe
Kyrgyzstan,1992-08-23,Creation,Asia
Commonwealth of Independent States,1992-08-16,Name,Russia
Eritrea,1992-06-26,Creation,Africa
Tajikistan,1992-06-17,Creation,Asia
Turkmenistan,1992-06-01,Creation,Asia
Soviet Union,1992-01-25,Name,Commonwealth of Independent States
Moldova,1991-07-02,Creation,Europe
East Germany,1990-12-19,Destruction,Europe
West Germany,1990-12-19,Name,Germany
North Yemen,1990-05-22,Destruction,Asia
South Yemen,1990-05-22,Name,Yemen
Burma,1989-08-22,Name,Myanmar
Namibia,1989-05-16,Creation,Africa
Palau,1987-03-06,Creation,Oceania
Upper Volta,1984-11-11,Name,Burkina Faso
British Honduras,1983-12-08,Name,Belize
Eastern Samoa,1983-08-20,Creation,Oceania
Niue,1983-08-20,Creation,Oceania
Bhutan,1982-04-01,Creation,Asia
New Hebrides,1980-07-07,Name,Vanuatu
Greenland,1980-07-02,Creation,Europe
Rhodesia,1980-04-19,Name,Zimbabwe
Western Samoa,1979-08-31,Creation,Oceania
Kiribati,1979-08-30,Creation,Oceania
Maldives,1979-08-27,Creation,Asia
Comoros,1979-08-26,Creation,Africa
French Somaliland,1977-06-25,Name,Djibouti
Dahomey,1977-02-14,Name,Benin
Northern Cyprus,1977-01-05,Creation,Europe
Rwanda,1976-06-29,Creation,Africa
Sao Tome e Principe,1976-05-02,Creation,Africa
Angola,1976-02-08,Creation,Africa
Guam,1975-08-02,Creation,Asia
Mozambique,1975-07-01,Creation,Africa
Portuguese Guinea,1975-06-08,Name,Guinea-Bissau
Equatorial Guinea,1975-05-23,Creation,Africa
North Vietnam,1975-04-30,Name,Vietnam
South Vietnam,1975-04-30,Destruction,Asia
Seychelles,1974-03-13,Creation,Africa
Bangladesh,1973-07-27,Creation,Asia
Tibet,1972-11-06,Creation,Asia
Nepal,1972-10-13,Creation,Asia
Uzbekistan,1972-06-17,Creation,Asia
Ceylon,1972-06-07,Name,Sri Lanka
United Arab Emirates,1972-03-17,Creation,Asia
Democratic Republic of Congo,1972-02-25,Name,Zaire
Aden,1972-01-01,Name,South Yemen
Cambodia,1970-11-09,Name,Khmer Republic
Lesotho,1970-08-08,Creation,Africa
Qatar,1970-03-27,Creation,Asia
Botswana,1968-07-13,Creation,Africa
Swaziland,1968-05-01,Creation,Africa
Southern Rhodesia,1967-11-12,Name,Rhodesia
British Guiana,1967-07-30,Name,Guyana
Wallis and Futuna,1966-12-11,Creation,Oceania
North Yemen,1966-04-02,Creation,Asia
Bahrain,1966-04-01,Creation,Asia
Oman,1965-09-02,Creation,Asia
Aden,1965-09-02,Creation,Asia
Tanganyika,1965-03-13,Name,Tanzania
Congo-Leopoldville,1965-01-01,Name,Democratic Republic of Congo
Northern Rhodesia,1964-12-11,Name,Zambia
Ruanda-Urundi,1964-10-09,Name,Burundi
Nyasaland,1964-07-20,Name,Malawi
Malawi,1964-07-04,Name,Nyasaland
Somalia,1963-11-14,Creation,Africa
Malaya,1963-10-12,Name,Malaysia
Nyasaland,1963-07-06,Name,Malawi
Belgian Congo,1963-04-12,Name,Congo-Leopoldville
British Honduras,1963-04-01,Creation,North America
Nyasaland,1962-10-15,Creation,Africa
United Arab Republic,1962-01-05,Name,Egypt
Chad,1961-12-25,Creation,Africa
Liberia,1961-12-25,Creation,Africa
Mauritania,1961-12-25,Creation,Africa
Niger,1961-12-25,Creation,Africa
Laos,1961-12-12,Creation,Asia
Senegal,1961-11-19,Creation,Africa
Mali Federation,1960-10-02,Name,Mali
Kuwait,1960-09-03,Creation,Asia
Central African Republic,1960-04-13,Creation,Africa
Congo,1960-04-13,Creation,Africa
Gabon,1960-04-13,Creation,Africa
Ivory Coast,1960-04-13,Creation,Africa
Mali Federation,1960-04-13,Creation,Africa
Upper Volta,1960-04-13,Creation,Africa
Cape Verde,1959-12-20,Creation,Africa
Dahomey,1959-11-08,Creation,Africa
Egypt,1958-12-28,Name,United Arab Republic
Guinea,1958-12-07,Creation,Africa
Algeria,1958-05-03,Creation,Africa
French Togoland,1958-04-13,Name,Togo
Gold Coast,1957-10-27,Name,Ghana
Iraq,1957-10-19,Creation,Asia
Morocco,1957-10-19,Creation,Africa
Saudi Arabia,1957-10-18,Creation,Asia
Tunisia,1957-06-02,Creation,Africa
Saar,1957-01-01,Destruction,Europe
French Togoland,1956-10-13,Creation,Africa
North Korea,1956-10-07,Creation,Asia
North Vietnam,1956-10-04,Creation,Asia
Sudan,1956-05-13,Creation,Africa
Cambodia,1956-03-17,Creation,Asia
Northern Rhodesia,1954-05-03,Creation,Africa
Taiwan,1954-05-01,Creation,Asia
Ruanda-Urundi,1953-09-19,Creation,Africa
Malaya,1953-09-13,Creation,Asia
Belgian Congo,1953-09-01,Creation,Africa
Cameroon,1953-09-01,Creation,Africa
Jordan,1953-07-30,Creation,Africa
Libya,1953-07-29,Creation,Africa
Saar,1953-06-24,Creation,Europe
Portuguese Guinea,1953-06-02,Creation,Africa
Gambia,1953-02-09,Creation,Africa
Ceylon,1952-03-01,Creation,Asia
New Hebrides,1951-10-04,Creation,Oceania
East Germany,1951-04-21,Creation,Europe
