"Contest","Relevance","Weight"
"AFC-OFC Challenge Cup","low","medium"
"African Games","low","low"
"African Games qualifier","low","very low"
"African Games qualifier and Central African Cup","low","low"
"African Games qualifier and West African Cup","low","low"
"African Nations Cup","high","high"
"African Nations Cup qualifier","low","medium"
"Afro-Asian Cup","low","low"
"Afro-Asian Games","low","low"
"Amilcar Cabral Cup","low","low"
"ANFA Cup","low","low"
"Arab Nations Cup","low","low"
"Arab Nations Cup qualifier","low","very low"
"Artemio Franchi Trophy","low","low"
"Artigas Cup","low","low"
"Asian Challenge Cup","low","low"
"Asian Challenge Cup qualifier","low","very low"
"Asian Cup","high","high"
"Asian Cup qualifier","low","medium"
"Asian Games","low","low"
"Asian Solidarity Cup","low","low"
"Atlantic Cup","low","low"
"Atlantic Cup and Bogado Cup","low","low"
"Atlantic Cup and Lipton Cup","low","low"
"Atlantic Cup and Newton Cup","low","low"
"Atlantic Cup and Osvaldo Cruz Cup","low","low"
"Atlantic Cup and Rio Branco Cup","low","low"
"Atlantic Cup and Roca Cup","low","low"
"Azikwe Cup","low","low"
"Balkan Cup","low","low"
"Balkan Cup and Dr. Gero Cup","low","low"
"Baltic Cup","low","low"
"Baltic Tournament","low","low"
"Bicentenary Gold Cup","low","low"
"Black Stars Tournament","low","low"
"Bogado Cup","low","low"
"Bolivarian Games","low","low"
"British International Championship","low","low"
"Caribana Cup","low","low"
"Caribbean Cup","low","low"
"Caribbean Cup qualifier","low","very low"
"Carlos Dittborn Cup","low","low"
"CCCF Championship","low","low"
"Cecafa Cup","low","low"
"CEDEAO Cup","low","low"
"CEDEAO Cup qualifier","low","very low"
"Cedeao Tournament","low","low"
"Cemac Cup","low","low"
"Central African Games","low","low"
"Central American and Caribbean Games","low","low"
"Central American Cup","low","low"
"Central American Cup qualifier","low","very low"
"Central American Games","low","low"
"Central American Independence Centenary Cup","low","low"
"CFU Championship","low","low"
"CFU Championship qualifier","low","very low"
"Colombo Cup","low","low"
"Comesa Cup","low","low"
"CONCACAF Championship","high","high"
"CONCACAF Championship qualifier","low","medium"
"Confederations Cup","high","high"
"Confederations Cup qualifier","low","medium"
"Copa America","high","high"
"Copa America qualifier","low","medium"
"Copa Centenario","high","high"
"Copa Centenario Revoluci?n de Mayo","low","low"
