"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeGoalsFull","AwayGoalsFull","ExtraTimePossible","HomeAdvantage"
"Armenia","Moldova","2018-06-04","Friendly",0,0,0,0,0,0
"Chile","Serbia","2018-06-04","Friendly",1,0,1,0,0,0
"Italy","Netherlands","2018-06-04","Friendly",1,1,1,1,0,1
"India","Kenya","2018-06-04","Friendly tournament",3,0,3,0,0,1
"Morocco","Slovakia","2018-06-04","Friendly",2,1,2,1,0,0
"Barbados","Belize","2018-06-03","Friendly",0,0,0,0,0,1
"Spain","Switzerland","2018-06-03","Friendly",1,1,1,1,0,1
"South Africa","Madagascar","2018-06-03","COSAFA Cup",0,0,0,0,0,1
"Andorra","Cape Verde","2018-06-03","Friendly",0,0,0,0,0,0
"Costa Rica","Northern Ireland","2018-06-03","Friendly",3,0,3,0,0,1
"Brazil","Croatia","2018-06-03","Friendly",2,0,2,0,0,0
"Peru","Saudi Arabia","2018-06-03","Friendly",3,0,3,0,0,0
"Botswana","Zimbabwe","2018-06-03","COSAFA Cup",1,1,1,1,0,0
"Ukraine","Albania","2018-06-03","Friendly",4,1,4,1,0,0
"Namibia","Zambia","2018-06-02","COSAFA Cup",0,0,0,0,0,0
"Sweden","Denmark","2018-06-02","Friendly",0,0,0,0,0,1
"Belgium","Portugal","2018-06-02","Friendly",0,0,0,0,0,1
"Ireland","United States","2018-06-02","Friendly",2,1,2,1,0,1
"Latvia","Estonia","2018-06-02","Baltic Cup",1,0,1,0,0,1
"Mexico","Scotland","2018-06-02","Friendly",1,0,1,0,0,1
"Northern Cyprus","Tibet","2018-06-02","World Football Cup",3,1,3,1,0,0
"Iceland","Norway","2018-06-02","Friendly",2,3,2,3,0,1
"Austria","Germany","2018-06-02","Friendly",2,1,2,1,0,1
"Thailand","China","2018-06-02","Friendly",0,2,0,2,0,1
"England","Nigeria","2018-06-02","Friendly",2,1,2,1,0,1
"Lesotho","Swaziland","2018-06-02","COSAFA Cup",1,0,1,0,0,0
"Kenya","New Zealand","2018-06-02","Friendly tournament",2,1,2,1,0,0
"Montenegro","Slovenia","2018-06-02","Friendly",0,2,0,2,0,1
"Niger","Uganda","2018-06-02","Friendly tournament",2,1,2,1,0,1
"El Salvador","Honduras","2018-06-02","Friendly",1,0,1,0,0,0
"Botswana","Mauritius","2018-06-01","COSAFA Cup",6,0,6,0,0,0
"Australia","Czechia","2018-06-01","Friendly",4,0,4,0,0,0
"Algeria","Cape Verde","2018-06-01","Friendly",2,3,2,3,0,1
"Tunisia","Turkey","2018-06-01","Friendly",2,2,2,2,0,0
"Georgia","Malta","2018-06-01","Friendly",1,0,1,0,0,0
"Angola","Malawi","2018-06-01","COSAFA Cup",0,0,0,0,0,0
"South Korea","Bosnia and Herzegovina","2018-06-01","Friendly",1,3,1,3,0,1
"Colombia","Egypt","2018-06-01","Friendly",0,0,0,0,0,0
"India","Taiwan","2018-06-01","Friendly tournament",5,0,5,0,0,1
"France","Italy","2018-06-01","Friendly",3,1,3,1,0,1
"Mozambique","Seychelles","2018-05-31","COSAFA Cup",2,1,2,1,0,0
"Luxembourg","Senegal","2018-05-31","Friendly",0,0,0,0,0,1
"Madagascar","Comoros","2018-05-31","COSAFA Cup",1,0,1,0,0,0
"Romania","Chile","2018-05-31","Friendly",3,2,3,2,0,0
"Slovakia","Netherlands","2018-05-31","Friendly",1,1,1,1,0,1
"Morocco","Ukraine","2018-05-31","Friendly",0,0,0,0,0,0
"Central African Republic","Uganda","2018-05-30","Friendly tournament",1,0,1,0,0,0
"Botswana","Malawi","2018-05-30","COSAFA Cup",1,1,1,1,0,0
"Angola","Mauritius","2018-05-30","COSAFA Cup",1,0,1,0,0,0
"Estonia","Lithuania","2018-05-30","Baltic Cup",2,0,2,0,0,1
"Japan","Ghana","2018-05-30","Friendly",0,2,0,2,0,1
"Austria","Russia","2018-05-30","Friendly",1,0,1,0,0,1
"Azerbaijan","Kyrgyzstan","2018-05-29","Friendly",3,0,3,0,0,1
"Madagascar","Seychelles","2018-05-29","COSAFA Cup",1,1,1,1,0,0
"Argentina","Haiti","2018-05-29","Friendly",4,0,4,0,0,1
"Armenia","Malta","2018-05-29","Friendly",1,1,1,1,0,0
"Peru","Scotland","2018-05-29","Friendly",2,0,2,0,0,1
"Mozambique","Comoros","2018-05-29","COSAFA Cup",3,0,3,0,0,0
"Panama","Northern Ireland","2018-05-29","Friendly",0,0,0,0,0,1
"Kosovo","Albania","2018-05-29","Friendly",3,0,3,0,0,0
"Botswana","Angola","2018-05-28","COSAFA Cup",2,1,2,1,0,0
"Turkey","Iran","2018-05-28","Friendly",2,1,2,1,0,1
"Portugal","Tunisia","2018-05-28","Friendly",2,2,2,2,0,1
"Mauritius","Malawi","2018-05-28","COSAFA Cup",1,0,1,0,0,0
"France","Ireland","2018-05-28","Friendly",2,0,2,0,0,1
"Bosnia and Herzegovina","Montenegro","2018-05-28","Friendly",0,0,0,0,0,1
"Kenya","Equatorial Guinea","2018-05-28","Friendly",1,0,1,0,0,1
"United States","Bolivia","2018-05-28","Friendly",3,0,3,0,0,1
"South Korea","Honduras","2018-05-28","Friendly",2,0,2,0,0,1
"Mexico","Wales","2018-05-28","Friendly",0,0,0,0,0,0
"Italy","Saudi Arabia","2018-05-28","Friendly",2,1,2,1,0,0
