"HomeTeam","AwayTeam","Date","Contest","Type","HomeGoals","AwayGoals","HomeAdvantage"
"Malaysia","Timor-Leste","06/11/15","World Cup","Qualifiers-Asia",1,1,1
"Saudi Arabia","Palestine","06/11/15","World Cup","Qualifiers-Asia",3,2,1
"Timor-Leste","United Arab Emirates","06/16/15","World Cup","Qualifiers-Asia",0,1,1
"Malaysia","Palestine","06/16/15","World Cup","Qualifiers-Asia",0,6,1
"United Arab Emirates","Malaysia","09/03/15","World Cup","Qualifiers-Asia",10,0,1
"Saudi Arabia","Timor-Leste","09/03/15","World Cup","Qualifiers-Asia",7,0,1
"Malaysia","Saudi Arabia","09/08/15","World Cup","Qualifiers-Asia",1,2,1
"Palestine","United Arab Emirates","09/08/15","World Cup","Qualifiers-Asia",0,0,1
"Timor-Leste","Palestine","10/08/15","World Cup","Qualifiers-Asia",1,1,1
"Saudi Arabia","United Arab Emirates","10/08/15","World Cup","Qualifiers-Asia",2,1,1
"Timor-Leste","Malaysia","10/13/15","World Cup","Qualifiers-Asia",0,1,1
"Palestine","Saudi Arabia","11/09/15","World Cup","Qualifiers-Asia",0,0,1
"Palestine","Malaysia","11/12/15","World Cup","Qualifiers-Asia",6,0,1
"United Arab Emirates","Timor-Leste","11/12/15","World Cup","Qualifiers-Asia",8,0,1
"Timor-Leste","Saudi Arabia","11/17/15","World Cup","Qualifiers-Asia",0,10,1
"Malaysia","United Arab Emirates","11/17/15","World Cup","Qualifiers-Asia",1,2,1
"United Arab Emirates","Palestine","03/24/16","World Cup","Qualifiers-Asia",2,0,1
"Saudi Arabia","Malaysia","03/24/16","World Cup","Qualifiers-Asia",2,0,1
"Palestine","Timor-Leste","03/29/16","World Cup","Qualifiers-Asia",7,0,1
"United Arab Emirates","Saudi Arabia","03/29/16","World Cup","Qualifiers-Asia",1,1,1
"Bangladesh","Kyrgyzstan","06/11/15","World Cup","Qualifiers-Asia",1,3,1
"Tajikistan","Jordan","06/11/15","World Cup","Qualifiers-Asia",1,3,1
"Bangladesh","Tajikistan","06/16/15","World Cup","Qualifiers-Asia",1,1,1
"Kyrgyzstan","Australia","06/16/15","World Cup","Qualifiers-Asia",1,2,1
"Australia","Bangladesh","09/03/15","World Cup","Qualifiers-Asia",5,0,1
"Jordan","Kyrgyzstan","09/03/15","World Cup","Qualifiers-Asia",0,0,1
"Bangladesh","Jordan","09/08/15","World Cup","Qualifiers-Asia",0,4,1
"Tajikistan","Australia","09/08/15","World Cup","Qualifiers-Asia",0,3,1
"Jordan","Australia","10/08/15","World Cup","Qualifiers-Asia",2,0,1
"Kyrgyzstan","Tajikistan","10/08/15","World Cup","Qualifiers-Asia",2,2,1
"Kyrgyzstan","Bangladesh","10/13/15","World Cup","Qualifiers-Asia",2,0,1
"Jordan","Tajikistan","10/13/15","World Cup","Qualifiers-Asia",3,0,1
"Australia","Kyrgyzstan","11/12/15","World Cup","Qualifiers-Asia",3,0,1
"Tajikistan","Bangladesh","11/12/15","World Cup","Qualifiers-Asia",5,0,1
"Bangladesh","Australia","11/17/15","World Cup","Qualifiers-Asia",0,4,1
"Kyrgyzstan","Jordan","11/17/15","World Cup","Qualifiers-Asia",1,0,1
"Australia","Tajikistan","03/24/16","World Cup","Qualifiers-Asia",7,0,1
"Jordan","Bangladesh","03/24/16","World Cup","Qualifiers-Asia",8,0,1
"Australia","Jordan","03/29/16","World Cup","Qualifiers-Asia",5,1,1
"Tajikistan","Kyrgyzstan","03/29/16","World Cup","Qualifiers-Asia",0,1,1
"Hong Kong","Bhutan","06/11/15","World Cup","Qualifiers-Asia",7,0,1
"Maldives","Qatar","06/11/15","World Cup","Qualifiers-Asia",0,1,1
"Bhutan","China","06/16/15","World Cup","Qualifiers-Asia",0,6,1
"Hong Kong","Maldives","06/16/15","World Cup","Qualifiers-Asia",2,0,1
"China","Hong Kong","09/03/15","World Cup","Qualifiers-Asia",0,0,1
"Qatar","Bhutan","09/03/15","World Cup","Qualifiers-Asia",15,0,1
"Maldives","China","09/08/15","World Cup","Qualifiers-Asia",0,3,1
"Hong Kong","Qatar","09/08/15","World Cup","Qualifiers-Asia",2,3,1
"Bhutan","Maldives","10/08/15","World Cup","Qualifiers-Asia",3,4,1
"Qatar","China","10/08/15","World Cup","Qualifiers-Asia",1,0,1
"Bhutan","Hong Kong","10/13/15","World Cup","Qualifiers-Asia",0,1,1
"Qatar","Maldives","10/13/15","World Cup","Qualifiers-Asia",4,0,1
"Maldives","Hong Kong","11/12/15","World Cup","Qualifiers-Asia",0,1,1
"China","Bhutan","11/12/15","World Cup","Qualifiers-Asia",12,0,1
"Bhutan","Qatar","11/17/15","World Cup","Qualifiers-Asia",0,3,1
"Hong Kong","China","11/17/15","World Cup","Qualifiers-Asia",0,0,1
"China","Maldives","03/24/16","World Cup","Qualifiers-Asia",4,0,1
"Qatar","Hong Kong","03/24/16","World Cup","Qualifiers-Asia",2,0,1
"China","Qatar","03/29/16","World Cup","Qualifiers-Asia",2,0,1
"Maldives","Bhutan","03/29/16","World Cup","Qualifiers-Asia",4,2,1
"Guam","Turkmenistan","06/11/15","World Cup","Qualifiers-Asia",1,0,1
"India","Oman","06/11/15","World Cup","Qualifiers-Asia",1,2,1
"Guam","India","06/16/15","World Cup","Qualifiers-Asia",2,1,1
"Turkmenistan","Iran","06/16/15","World Cup","Qualifiers-Asia",1,1,1
"Iran","Guam","09/03/15","World Cup","Qualifiers-Asia",6,0,1
"Oman","Turkmenistan","09/03/15","World Cup","Qualifiers-Asia",3,1,1
"Guam","Oman","09/08/15","World Cup","Qualifiers-Asia",0,0,1
"India","Iran","09/08/15","World Cup","Qualifiers-Asia",0,3,1
"Turkmenistan","India","10/08/15","World Cup","Qualifiers-Asia",2,1,1
"Oman","Iran","10/08/15","World Cup","Qualifiers-Asia",1,1,1
"Turkmenistan","Guam","10/13/15","World Cup","Qualifiers-Asia",1,0,1
"Oman","India","10/13/15","World Cup","Qualifiers-Asia",3,0,1
"Iran","Turkmenistan","11/12/15","World Cup","Qualifiers-Asia",3,1,1
"India","Guam","11/12/15","World Cup","Qualifiers-Asia",1,0,1
"Guam","Iran","11/17/15","World Cup","Qualifiers-Asia",0,6,1
"Turkmenistan","Oman","11/17/15","World Cup","Qualifiers-Asia",2,1,1
"Iran","India","03/24/16","World Cup","Qualifiers-Asia",4,0,1
"Oman","Guam","03/24/16","World Cup","Qualifiers-Asia",1,0,1
"India","Turkmenistan","03/29/16","World Cup","Qualifiers-Asia",1,2,1
"Iran","Oman","03/29/16","World Cup","Qualifiers-Asia",2,0,1
"Cambodia","Singapore","06/11/15","World Cup","Qualifiers-Asia",0,4,1
"Afghanistan","Syria","06/11/15","World Cup","Qualifiers-Asia",0,6,1
"Japan","Singapore","06/16/15","World Cup","Qualifiers-Asia",0,0,1
"Cambodia","Afghanistan","06/16/15","World Cup","Qualifiers-Asia",0,1,1
"Japan","Cambodia","09/03/15","World Cup","Qualifiers-Asia",3,0,1
"Syria","Singapore","09/03/15","World Cup","Qualifiers-Asia",1,0,1
"Cambodia","Syria","09/08/15","World Cup","Qualifiers-Asia",0,6,1
"Afghanistan","Japan","09/08/15","World Cup","Qualifiers-Asia",0,6,1
"Singapore","Afghanistan","10/08/15","World Cup","Qualifiers-Asia",1,0,1
"Syria","Japan","10/08/15","World Cup","Qualifiers-Asia",0,3,1
"Singapore","Cambodia","10/13/15","World Cup","Qualifiers-Asia",2,1,1
"Syria","Afghanistan","10/13/15","World Cup","Qualifiers-Asia",5,2,1
"Singapore","Japan","11/12/15","World Cup","Qualifiers-Asia",0,3,1
"Afghanistan","Cambodia","11/12/15","World Cup","Qualifiers-Asia",3,0,1
"Singapore","Syria","11/17/15","World Cup","Qualifiers-Asia",1,2,1
"Cambodia","Japan","11/17/15","World Cup","Qualifiers-Asia",0,2,1
"Japan","Afghanistan","03/24/16","World Cup","Qualifiers-Asia",5,0,1
"Syria","Cambodia","03/24/16","World Cup","Qualifiers-Asia",6,0,1
"Afghanistan","Singapore","03/29/16","World Cup","Qualifiers-Asia",2,1,1
"Japan","Syria","03/29/16","World Cup","Qualifiers-Asia",5,0,1
"Thailand","Vietnam","05/24/15","World Cup","Qualifiers-Asia",1,0,1
"Taiwan","Thailand","06/16/15","World Cup","Qualifiers-Asia",0,2,1
"Iraq","Taiwan","09/03/15","World Cup","Qualifiers-Asia",5,1,1
"Taiwan","Vietnam","09/08/15","World Cup","Qualifiers-Asia",1,2,1
"Thailand","Iraq","09/08/15","World Cup","Qualifiers-Asia",2,2,1
"Vietnam","Iraq","10/08/15","World Cup","Qualifiers-Asia",1,1,1
